,Feature,Importance
16,Expanding_Mean,0.105484545
15,Long_EMA,0.011918384
4,Close_Squared,0.0058192937
6,Close_Inverse,0.0054990305
13,Moving_Average_15,0.0050397627
9,Short_EMA,0.0037775114
12,Upper_Band,0.0036320873
14,Lower_Band,0.0035540096
10,Rolling_Mean,0.0034530268
2,Square_Root_Close,0.003012626
3,Log_Close,0.0030025255
11,Moving_Average_10,0.0019573558
1,Cumulative_Returns,0.0015374441
7,Moving_Average_5,0.001459783
0,Close,0.0013328226
8,EMA,0.0012002293
5,Moving_Average_3,0.000678158
