,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Squared,Close_Inverse,Close_Cubed,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Lower_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Price_RoC_45,MACD,Price_RoC_60,Signal_Line,Price_RoC_30,Expanding_Mean,Price_RoC_15,RSI,Price_RoC_12,RS,Price_RoC_10,Price_RoC_7,Price_RoC_5,Z_Score,Std_Dev_RoC_5,Price_RoC_3,Rolling_Std,Std_Dev_RoC_10,Price_Delta,Price_RoC,Log_Returns,Tan_Close,Gain,Loss,Cos_Close,Sin_Close
0,0.01,0.01,0.01,,0.03,0.01,0.04,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,,,,,,,,0.26,,0.4,,,,,0.37,,0.13,0.22,,,,,1.55,1.41,0.58,
1,0.02,0.02,0.01,,0.03,0.02,0.05,0.01,0.01,,,0.01,,,,0.01,,,,,,,,,0.26,,0.51,,18.32,4.59,6.83,0.25,7.2,0.14,0.26,10.22,9.87,10.48,5.14,1.41,1.79,1.02,
2,0.02,0.02,0.01,,0.03,0.02,0.05,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.02,,2.07,,,4.62,,0.43,0.14,0.64,0.65,0.39,0.34,0.24,0.39,0.48,1.09,0.11,0.24,4.29,4.16,4.24,6.8,1.45,1.67,,0.56
3,0.01,0.01,,,0.02,0.01,0.03,,,,,0.01,,,0.01,,0.01,0.8,0.12,,0.17,0.23,,0.48,0.11,1.01,0.32,1.85,7.98,,47.79,0.32,134.27,0.39,0.14,4.17,4.11,4.19,3.18,1.23,1.53,,0.7
4,0.11,0.11,0.06,0.03,0.23,0.11,0.34,0.11,0.09,0.06,0.05,0.15,0.05,0.05,0.03,0.03,0.04,,,,,,,,0.44,,0.62,,,,,0.76,,0.79,0.71,,,,4.34,2.15,1.96,,2.95
5,0.02,0.02,0.01,0.01,0.04,0.02,0.07,0.02,0.02,0.01,0.01,0.06,0.02,0.02,0.04,0.01,0.08,,,,,,,,0.53,,1.11,,5.47,0.55,1.08,0.98,0.85,0.86,0.39,1.9,1.92,1.92,1.78,1.54,2.09,4.57,
6,0.01,0.01,,,0.02,0.01,0.03,0.01,0.01,,,0.01,,,0.01,0.01,0.01,,,,,,,0.87,0.18,2.23,0.42,6.39,,,,0.32,,0.31,0.75,,,,,1.9,1.11,0.81,
7,0.01,0.01,,,0.01,0.01,0.02,,,,,,,,,,0.01,,,,,,,,0.12,,0.21,,,,,0.13,,0.16,0.35,6.28,6.09,6.3,,1.22,1.6,6.92,
8,0.01,0.01,0.01,,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,,,,,0.78,,0.47,0.08,0.44,0.22,0.37,0.48,0.86,0.57,0.32,1.4,0.2,0.22,3.66,3.57,3.64,3.7,0.97,1.74,0.24,4.13
9,0.03,0.03,0.02,0.01,0.06,0.03,0.09,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.23,0.58,,0.72,0.7,,0.32,0.1,0.66,0.45,0.84,1.04,1.03,0.9,0.46,1.32,0.48,0.18,1.27,1.28,1.29,,0.76,2.11,7.02,3.04
10,0.02,0.02,0.01,,0.03,0.02,0.05,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,,0.18,0.18,1.46,0.12,0.15,,0.37,0.13,0.79,0.43,1.42,3.48,,,0.27,,0.29,0.38,,,,3.35,1.54,1.61,,
11,0.01,0.01,,,0.02,0.01,0.02,0.01,,,,,0.01,0.01,0.01,,0.01,0.17,0.46,0.27,0.33,0.4,,,0.1,,0.18,,,,,0.38,,0.32,0.48,,,,,1.35,1.13,,0.41
12,0.02,0.02,0.01,,0.04,0.02,0.05,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,,,0.83,,0.37,2.5,,,,0.18,,0.35,,,,,0.33,,0.37,0.1,,,,,1.39,1.01,4.3,0.53
13,0.03,0.03,0.01,0.01,0.06,0.03,0.09,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,,0.01,3.68,,0.75,,,,,0.1,,0.21,,,,,0.31,,0.25,0.23,,,,4.65,1.82,1.3,,2.54
14,0.02,0.02,0.01,0.01,0.05,0.02,0.07,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.03,,,,,,,,0.36,,0.47,,,,,0.34,,0.18,0.42,,,,,2.37,1.05,,
15,0.02,0.02,0.01,,0.03,0.02,0.05,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.01,,,,,,,,0.16,,0.24,,,,,0.17,,0.15,0.12,,,,,1.89,1.14,3.62,0.31
