,Close
Close,1.0
Cumulative_Returns,0.9999999999999997
Square_Root_Close,0.9996656997185353
Close_Squared,0.998702675573347
Log_Close,0.998675637230041
Close_Cubed,0.9949537706398617
Close_Inverse,0.9945696526371104
Moving_Average_3,0.9930272615748089
Moving_Average_5,0.9844784341813847
EMA,0.9690533896165856
Short_EMA,0.9600801249724523
Rolling_Mean,0.9589461676051615
Moving_Average_10,0.9589461676051615
Lower_Band,0.9509462883187498
Moving_Average_15,0.9272963363799297
Upper_Band,0.922917026374047
Long_EMA,0.8926855671167245
Price_RoC_60,0.6955847898977557
Signal_Line,0.622576225138576
Price_RoC_45,0.5927864294622396
MACD,0.5824007726211455
Price_RoC_30,0.5145115499961808
Price_RoC_15,0.36231343855696585
RS,0.31772542938560994
Price_RoC_12,0.3116831825403522
Std_Dev_RoC_5,0.29715389024376737
RSI,0.29183923164074477
Price_RoC_10,0.2781488538799952
Expanding_Mean,0.22654574616271836
Price_RoC_7,0.22273623704029283
Price_RoC_5,0.1812686608032926
Price_RoC_3,0.13431354269690138
Z_Score,0.12799145105604542
Price_Delta,0.07694037916436346
Log_Returns,0.07656078623913339
Price_RoC,0.07529327336955349
Gain,0.06360956980294048
Loss,0.06302121465166091
Cos_Close,0.06296840258971217
Rolling_Std,0.04363392102712787
Std_Dev_RoC_10,0.03346554078054384
Tan_Close,0.03177916189639623
Sin_Close,0.02043576227499912
