,Feature,Importance
17,Expanding_Mean,0.09300339
16,Long_EMA,0.009724049
6,Close_Inverse,0.007465181
14,Upper_Band,0.0073095663
12,Moving_Average_10,0.006642881
1,Close,0.006000498
15,Moving_Average_15,0.005552104
5,Close_Cubed,0.00544721
13,Lower_Band,0.005195015
11,Rolling_Mean,0.0036502401
8,Moving_Average_5,0.0029648857
3,Log_Close,0.002671017
9,EMA,0.002595727
4,Close_Squared,0.0024998067
0,Cumulative_Returns,0.0021210187
7,Moving_Average_3,0.0015397436
10,Short_EMA,0.0012239285
2,Square_Root_Close,0.0010937735
