,Close,Cumulative_Returns,Square_Root_Close,Close_Squared,Log_Close,Moving_Average_3,Close_Cubed,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Lower_Band,Price_RoC_60,Moving_Average_15,Long_EMA,Upper_Band,Price_RoC_45,Signal_Line,MACD,Price_RoC_30,Expanding_Mean,RSI,Price_RoC_15,Price_RoC_12,Price_RoC_10,RS,Sin_Close,Price_RoC_7,Gain,Cos_Close,Std_Dev_RoC_10,Z_Score,Price_RoC_5,Price_RoC_3,Rolling_Std,Price_Delta,Price_RoC,Log_Returns,Std_Dev_RoC_5,Tan_Close,Loss
0,0.05,0.05,0.03,0.11,0.02,0.04,0.16,0.05,0.04,0.02,0.02,0.02,0.02,0.02,0.91,0.01,0.01,0.04,0.42,0.52,1.92,1.8,,0.18,,1.51,1.82,0.34,,2.41,1.7,,0.25,2.54,3.88,4.51,0.27,6.15,5.4,5.96,0.25,,1.65
1,0.03,0.03,0.02,0.06,0.01,0.02,0.1,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.2,0.01,0.01,0.02,0.37,0.38,0.4,,,0.08,1.06,1.0,2.03,0.18,,1.36,1.33,2.71,0.13,2.03,1.81,4.49,0.15,36.72,22.97,36.7,0.38,,1.48
2,0.03,0.03,0.01,0.05,0.01,0.02,0.08,0.03,0.02,0.01,0.01,0.02,0.02,0.02,0.39,0.01,0.01,0.02,,0.56,2.35,0.37,,0.17,,,,0.36,,,1.23,,0.13,,,,0.15,,,,0.55,,1.68
3,0.07,0.07,0.03,0.13,0.03,0.04,0.19,0.07,0.03,0.02,0.02,0.01,0.01,0.04,,0.02,0.01,0.01,,,,,,0.2,,,,0.36,,,1.67,,0.36,,,,0.37,,,,0.37,4.0,1.83
4,0.03,0.03,0.02,0.07,0.01,0.04,0.1,0.03,0.05,0.04,0.04,0.06,0.06,0.06,,0.05,0.03,0.1,,,,,0.01,0.18,,,,0.26,0.18,,1.43,,0.22,,,,0.4,,93.77,,0.31,,1.32
5,0.05,0.05,0.02,0.09,0.02,0.05,0.14,0.05,0.05,0.04,0.03,0.05,0.05,0.04,,0.03,0.01,0.05,,,,,,0.26,1.4,0.46,0.34,0.62,,0.34,1.59,,0.31,0.38,0.58,1.04,0.18,1.85,1.9,1.89,0.27,1.91,1.88
6,0.02,0.02,0.01,0.03,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.03,,0.03,0.01,0.01,,0.87,0.17,2.1,,0.17,0.59,0.83,0.97,1.02,,1.9,1.05,,0.22,2.69,3.38,5.63,0.25,51.02,38.44,50.74,0.38,0.33,1.98
7,0.05,0.05,0.02,0.09,0.02,0.04,0.14,0.05,0.03,0.03,0.02,0.02,0.02,,,0.01,0.02,0.04,1.98,0.17,0.27,0.16,,0.14,0.59,0.91,0.87,0.47,,0.55,0.92,,0.39,0.53,0.74,1.06,0.36,1.73,1.76,1.79,0.25,3.56,2.48
8,0.06,0.06,0.03,0.12,0.02,0.05,0.18,0.06,0.03,0.04,0.04,0.04,0.04,0.05,0.35,0.04,0.03,0.05,0.39,0.17,0.17,0.17,,0.09,0.32,0.26,0.21,0.44,,0.53,1.39,0.16,0.42,0.63,0.74,1.38,0.28,2.71,2.64,2.69,0.32,,1.68
9,0.1,0.1,0.05,0.19,0.04,0.08,0.27,0.1,0.05,0.03,0.03,0.02,0.02,0.07,0.18,0.01,0.01,0.02,0.57,0.15,0.5,0.59,,0.26,2.32,6.86,,0.62,,,2.11,1.29,0.77,,,,0.39,,,,0.39,1.1,1.69
