,Feature,Importance
17,Expanding_Mean,0.096868455
11,Rolling_Mean,0.012981783
4,Log_Close,0.009069444
10,Short_EMA,0.00887959
6,Close_Inverse,0.00791961
2,Square_Root_Close,0.007822236
14,Lower_Band,0.0075466437
5,Close_Cubed,0.006575013
8,Moving_Average_5,0.006427893
7,Moving_Average_3,0.0054462044
13,Upper_Band,0.0052415105
15,Moving_Average_15,0.0045814803
9,EMA,0.003684682
3,Close_Squared,0.0033903152
12,Moving_Average_10,0.0030138872
1,Close,0.0029384312
16,Long_EMA,0.0026194514
0,Cumulative_Returns,0.0023624988
