,Close
Cumulative_Returns,1.0000000000000004
Close,1.0
Square_Root_Close,0.9995347191554871
Log_Close,0.9982185734948421
Close_Squared,0.9981570869595553
Close_Cubed,0.9927269368711363
Close_Inverse,0.9925727576750021
Moving_Average_3,0.9893255952376833
Moving_Average_5,0.9754104924920756
EMA,0.9543850539844614
Short_EMA,0.9424240775226755
Rolling_Mean,0.9330458633773132
Moving_Average_10,0.9330458633773132
Upper_Band,0.9101635511874252
Moving_Average_15,0.8821888097033628
Long_EMA,0.8622446682773763
Lower_Band,0.8576424376867643
MACD,0.7554481780550805
Price_RoC_45,0.7323538634175253
Signal_Line,0.7176650292674785
Price_RoC_60,0.7138253412421149
Price_RoC_30,0.6999407278038152
Price_RoC_15,0.6427063340338248
Price_RoC_12,0.5944374541748336
RS,0.5907028257057887
Expanding_Mean,0.5553936880371129
Price_RoC_10,0.5395693254674027
RSI,0.5038701427375485
Price_RoC_7,0.4399766140114623
Price_RoC_5,0.36347006269258525
Price_RoC_3,0.26341772573387795
Std_Dev_RoC_10,0.26004603525470416
Z_Score,0.22867614857944252
Rolling_Std,0.14538539079577803
Price_Delta,0.1359035077795096
Log_Returns,0.1309420915252897
Price_RoC,0.13008070235179045
Gain,0.11702591192997783
Loss,0.10483945754570628
Cos_Close,0.09148279741236391
Std_Dev_RoC_5,0.08386616317890794
Sin_Close,0.07491276542386055
Tan_Close,0.035566324872259795
