,Feature,Importance
17,Expanding_Mean,0.0995415
10,Short_EMA,0.004595463
15,Long_EMA,0.0036168993
9,EMA,0.0032058626
7,Moving_Average_3,0.0026228677
5,Close_Inverse,0.0024395594
11,Rolling_Mean,0.0022678454
6,Close_Cubed,0.0020796712
8,Moving_Average_5,0.0019281681
14,Moving_Average_15,0.001682443
1,Close,0.0013685161
3,Log_Close,0.0012578234
12,Moving_Average_10,0.0012508684
4,Close_Squared,0.0009804147
2,Square_Root_Close,0.0009726039
13,Upper_Band,0.0008923284
0,Cumulative_Returns,0.0007890243
16,Lower_Band,0.0006335673
