,Feature,Importance
16,Expanding_Mean,0.09573768
7,Moving_Average_5,0.006516561
0,Cumulative_Returns,0.0061463006
12,Lower_Band,0.0060136304
13,Upper_Band,0.0056630718
15,Long_EMA,0.0051723127
6,Moving_Average_3,0.004464704
3,Log_Close,0.0040874816
9,Short_EMA,0.0039845877
5,Close_Inverse,0.0035523963
2,Square_Root_Close,0.0031067752
14,Moving_Average_15,0.0030831129
10,Rolling_Mean,0.0027183858
1,Close,0.0020977943
11,Moving_Average_10,0.0019697058
4,Close_Squared,0.0017634083
8,EMA,0.0015439198
