,Close,Cumulative_Returns,Square_Root_Close,Close_Squared,Log_Close,Close_Cubed,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Lower_Band,Moving_Average_15,Long_EMA,Upper_Band,Price_RoC_60,Price_RoC_45,Signal_Line,MACD,Price_RoC_30,Price_RoC_15,Price_RoC_12,RSI,Price_RoC_10,Std_Dev_RoC_10,Price_RoC_7,Price_RoC_5,Z_Score,Price_RoC_3,Std_Dev_RoC_5,Rolling_Std,Log_Returns,Price_RoC,Price_Delta,Loss,Expanding_Mean,Tan_Close,RS,Gain,Cos_Close,Sin_Close
10,0.02,0.02,0.01,0.03,,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.18,0.08,0.06,0.05,0.2,0.15,0.27,0.06,0.16,0.16,0.32,0.66,0.36,0.93,0.34,0.22,1.39,1.39,1.4,2.89,,,0.27,1.06,,
11,0.02,0.02,0.01,0.03,,0.05,0.02,0.01,0.01,,,,,0.01,0.01,0.01,,0.09,0.12,0.14,0.27,0.26,1.1,2.04,0.28,6.73,0.35,,,,,0.51,0.21,16.05,14.73,15.75,1.31,,,0.69,2.23,2.56,
12,0.03,0.03,0.02,0.06,,0.09,0.03,0.02,0.01,0.01,,,,0.01,,,0.01,0.16,0.37,0.16,0.32,0.5,3.22,1.75,0.17,1.19,0.1,4.9,5.09,3.67,5.8,0.24,0.06,25.95,19.66,25.73,1.42,,3.06,0.45,1.42,13.13,8.23
13,0.02,0.02,0.01,0.04,,0.05,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.01,0.01,0.01,0.29,0.3,0.1,0.18,0.52,0.68,0.77,0.1,1.29,0.22,1.77,2.99,5.19,14.66,0.45,0.31,,,,1.38,,9.14,0.27,1.58,12.08,4.21
14,0.02,0.02,0.01,0.03,,0.05,0.02,0.01,0.01,,,0.01,0.01,,,,0.01,0.16,0.46,0.29,0.37,0.48,,,0.21,,0.36,,4.77,10.96,2.56,0.33,0.15,4.46,4.37,4.44,1.46,,,0.4,1.61,,
15,0.05,0.05,0.03,0.11,0.01,0.15,0.06,0.04,0.03,0.02,0.02,0.01,0.01,0.03,,0.01,0.01,1.16,2.22,0.54,2.83,36.08,,,0.31,,0.4,,,,,0.56,0.46,,,,1.52,,,0.62,2.07,,1.44
16,0.02,0.02,0.01,0.04,,0.06,0.02,0.02,0.02,,,0.01,0.01,0.02,0.02,0.01,0.03,,,,,,,,0.13,,0.15,,,,7.52,0.35,0.27,2.11,2.09,2.14,1.87,,1.98,0.19,1.12,3.12,
17,0.01,0.01,0.01,0.03,,0.04,0.01,0.01,,,,,,,,,,,,,,,13.87,3.83,0.21,10.24,0.16,,,,,0.23,0.08,,,,1.39,,2.18,0.54,1.34,,
18,0.05,0.05,0.02,0.09,0.01,0.13,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.05,0.01,0.01,0.01,,,,,,,,0.3,,0.4,,,,,0.74,0.56,,,,2.04,,2.06,0.43,1.66,,
19,0.01,0.01,0.01,0.03,,0.04,0.02,0.01,0.02,,,0.01,0.01,0.02,0.01,0.01,0.03,,,,,,,,0.14,,0.27,8.17,2.14,1.73,1.31,0.62,0.41,4.16,4.05,4.16,1.53,,38.61,0.2,1.22,,18.88
20,0.02,0.02,0.01,0.05,,0.07,0.02,0.02,0.01,0.01,0.01,,,0.01,0.01,,0.01,,,,,,1.77,2.25,0.23,3.64,0.31,,,,,0.55,0.3,,,,1.28,,20.87,0.46,1.44,,6.66
21,0.01,0.01,0.01,0.03,,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.02,,,,,,,,0.13,,0.16,,,,19.44,0.26,0.3,19.52,17.24,19.42,1.63,,,0.2,1.12,13.07,1.27
22,0.13,0.13,0.06,0.25,0.02,0.36,0.13,0.11,0.08,0.05,0.05,0.03,0.03,0.13,0.02,0.03,0.05,,,,,,,,0.35,,0.63,,,,,0.97,0.87,,,,1.8,,3.78,0.55,1.9,1.51,
23,0.01,0.01,0.01,0.03,,0.04,0.01,0.01,0.01,0.02,0.03,0.05,0.05,0.08,0.05,0.03,0.14,,,,,,,,0.2,,0.36,,,15.11,2.42,0.75,0.9,3.76,3.63,3.77,1.53,,20.79,0.32,1.07,,
24,0.02,0.02,0.01,0.04,,0.07,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,,0.02,0.01,,,,,,,,0.14,,0.59,,,,,0.35,0.31,,,,1.48,,40.57,0.28,1.55,6.16,
25,0.01,0.01,,0.01,,0.02,0.01,0.01,0.02,0.01,,,,,,,0.01,,,,,,1.36,2.24,0.05,0.52,0.1,0.86,0.23,0.24,0.81,0.12,0.09,2.42,2.39,2.43,1.36,,,0.11,1.51,,3.84
