,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Squared,Moving_Average_3,Close_Inverse,Moving_Average_5,Close_Cubed,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Lower_Band,Long_EMA,Upper_Band,Price_RoC_60,Signal_Line,MACD,Price_RoC_45,Price_RoC_30,RS,RSI,Price_RoC_15,Price_RoC_12,Price_RoC_10,Z_Score,Price_RoC_7,Price_RoC_5,Price_RoC_3,Gain,Std_Dev_RoC_10,Price_Delta,Price_RoC,Expanding_Mean,Log_Returns,Std_Dev_RoC_5,Loss,Tan_Close,Cos_Close,Rolling_Std,Sin_Close
14,0.02,0.02,0.01,,0.04,0.01,0.02,0.01,0.06,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,,,,,,0.33,0.22,,,,,,,19.73,1.23,0.18,,,,,0.49,1.42,,,0.12,15.0
15,0.03,0.03,0.01,0.01,0.06,0.02,0.03,0.01,0.08,0.01,0.01,0.01,0.01,,0.02,,0.01,,,,,,0.19,0.09,1.75,1.92,2.21,,6.43,,,1.41,0.17,,,,,0.34,1.3,5.35,41.32,0.2,
16,0.03,0.03,0.02,0.01,0.06,0.04,0.03,0.03,0.09,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.03,,,,,2.5,0.19,0.09,0.87,1.2,1.57,0.98,1.08,1.3,1.67,1.25,0.16,1.85,1.8,,1.81,0.27,1.5,6.48,2.72,0.26,
17,0.03,0.03,0.02,0.01,0.07,0.03,0.04,0.03,0.1,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.03,,0.53,0.4,0.61,0.3,0.24,0.09,0.34,0.31,0.41,0.63,0.9,0.97,0.8,0.89,0.25,1.93,1.94,,1.98,0.29,1.99,2.35,,0.28,7.88
18,0.05,0.05,0.03,0.01,0.1,0.05,0.05,0.05,0.15,0.04,0.04,0.04,0.04,0.04,0.02,0.03,0.06,0.41,0.31,0.28,0.32,0.33,0.43,0.09,0.39,0.27,0.27,0.41,0.37,0.66,1.21,1.16,0.22,2.26,2.18,,2.22,0.45,1.93,2.61,68.13,0.3,
19,0.02,0.02,0.01,,0.05,0.02,0.03,0.02,0.07,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.18,0.06,0.03,0.05,0.12,0.31,0.11,0.29,0.47,0.5,0.66,0.66,1.16,1.41,1.35,0.11,5.02,4.73,,4.93,0.35,1.58,,4.75,0.2,6.38
20,0.03,0.03,0.01,0.01,0.06,0.02,0.03,0.02,0.08,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.13,0.14,0.29,0.13,0.33,0.46,0.22,1.56,3.77,16.05,,,,,1.63,0.27,,,,,0.46,2.49,,,0.32,0.52
21,0.03,0.03,0.02,0.01,0.07,0.03,0.03,0.02,0.1,0.01,0.01,0.01,0.01,,0.01,0.01,0.03,0.19,0.17,0.2,0.15,0.43,0.83,0.29,,7.56,4.19,1.07,1.61,0.79,0.94,1.32,0.42,2.3,2.25,,2.27,0.43,1.61,,,0.37,4.43
22,0.02,0.02,0.01,,0.04,0.02,0.02,0.01,0.06,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.13,0.08,0.07,0.22,0.33,0.23,0.06,0.17,0.23,0.34,0.59,0.73,0.97,1.43,1.0,0.55,2.55,2.55,,2.6,0.31,2.58,4.48,,0.34,3.06
23,0.02,0.02,0.01,,0.03,0.02,0.02,0.02,0.05,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.09,0.11,0.08,0.15,0.27,0.2,0.05,0.14,0.22,0.27,0.44,0.46,0.72,1.13,0.97,0.23,1.87,1.84,,1.86,0.47,1.74,,,0.2,
24,0.01,0.01,0.01,,0.02,0.02,0.01,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.13,0.06,0.04,0.12,0.13,0.22,0.05,0.22,0.19,0.17,0.32,0.44,0.62,0.91,1.07,0.4,1.87,1.85,,1.86,0.31,1.89,2.76,2.37,0.26,
25,0.09,0.09,0.04,0.02,0.18,0.04,0.08,0.02,0.28,0.02,0.02,0.01,0.01,0.01,0.04,0.01,0.06,0.28,0.03,0.17,0.3,0.48,0.54,0.05,0.67,0.77,1.09,0.67,1.37,1.46,1.62,1.49,0.6,1.53,1.52,,1.5,1.16,2.0,2.44,6.27,1.09,
