,Feature,Importance
17,Expanding_Mean,0.09486042
3,Log_Close,0.006409063
13,Long_EMA,0.0058769537
0,Cumulative_Returns,0.004620299
6,Close_Inverse,0.0037811124
9,EMA,0.0034195683
2,Square_Root_Close,0.0031148244
16,Moving_Average_15,0.0028947406
1,Close,0.0025320358
5,Close_Cubed,0.002141295
8,Moving_Average_5,0.0020166978
12,Moving_Average_10,0.0019487828
10,Short_EMA,0.001839168
11,Rolling_Mean,0.0016191589
7,Moving_Average_3,0.0011139892
15,Lower_Band,0.0010726575
4,Close_Squared,0.00085165433
14,Upper_Band,0.00081596
