,Close
Close,1.0
Cumulative_Returns,0.9999999999999996
Square_Root_Close,0.9993517302997942
Log_Close,0.9974835631763873
Close_Squared,0.9973260605705474
Moving_Average_3,0.9933268969813612
Close_Inverse,0.9902229256637972
Close_Cubed,0.9892717732940199
Moving_Average_5,0.9848204514303259
EMA,0.9761307307161938
Short_EMA,0.9710300001278771
Rolling_Mean,0.9621719979937201
Moving_Average_10,0.9621719979937201
Upper_Band,0.9575041778524855
Moving_Average_15,0.9424637779762987
Long_EMA,0.9416239996759436
Lower_Band,0.9072612601272414
Expanding_Mean,0.8405060153338131
MACD,0.7252806249283213
Signal_Line,0.6932674161684858
Price_RoC_60,0.6776114709749904
Price_RoC_30,0.652575130452119
Price_RoC_45,0.6485147197737846
Price_RoC_15,0.527409301063318
Price_RoC_12,0.47864166474840064
RSI,0.46639899290475073
Price_RoC_10,0.43877894732742745
RS,0.4067766092196329
Price_RoC_7,0.36994235269922693
Price_RoC_5,0.3207803415745725
Z_Score,0.28430965814654335
Price_RoC_3,0.2473973621695777
Loss,0.16232209720238933
Price_Delta,0.15176586852599175
Rolling_Std,0.1499984572292234
Log_Returns,0.1360355793167473
Price_RoC,0.1333877370559834
Gain,0.09530496000291884
Std_Dev_RoC_5,0.08919633904116286
Std_Dev_RoC_10,0.07461709143833431
Sin_Close,0.05807675480563486
Tan_Close,0.0427701866903171
Cos_Close,0.026181799761693676
