,Feature,Importance
16,Expanding_Mean,0.09601591
1,Cumulative_Returns,0.0053534517
3,Log_Close,0.00480358
2,Square_Root_Close,0.0044192686
9,Short_EMA,0.003992236
11,Moving_Average_10,0.0039782343
0,Close,0.0034181636
7,Moving_Average_5,0.0033563524
4,Close_Squared,0.0032020323
5,Close_Inverse,0.002606502
15,Lower_Band,0.0024517025
14,Long_EMA,0.0018897492
6,Moving_Average_3,0.0018796145
13,Moving_Average_15,0.0017687595
8,EMA,0.0017628025
12,Upper_Band,0.0016379824
10,Rolling_Mean,0.0015626665
