,Close,Cumulative_Returns,Square_Root_Close,Close_Squared,Log_Close,Moving_Average_3,Close_Cubed,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Upper_Band,Moving_Average_15,Lower_Band,Long_EMA,Price_RoC_60,Price_RoC_45,Signal_Line,MACD,Price_RoC_30,Price_RoC_15,RS,Price_RoC_12,RSI,Price_RoC_10,Price_RoC_7,Rolling_Std,Std_Dev_RoC_10,Price_RoC_5,Z_Score,Gain,Price_RoC_3,Sin_Close,Log_Returns,Price_RoC,Price_Delta,Std_Dev_RoC_5,Expanding_Mean,Tan_Close,Cos_Close,Loss
0,0.09,0.09,0.05,0.19,0.03,0.1,0.29,0.09,0.09,0.08,0.07,0.09,0.09,0.08,0.07,0.1,0.05,,,,,,,0.26,,0.16,,,0.09,0.23,,,1.87,,2.05,,,,0.18,0.01,,,1.67
1,0.06,0.06,0.03,0.11,0.02,0.03,0.18,0.05,0.02,0.01,0.02,0.02,0.02,0.06,0.04,0.03,0.03,,,,,,,0.67,,0.35,,13.7,0.54,0.27,3.14,3.49,1.46,2.12,0.4,3.37,3.23,3.23,0.34,0.01,,1.54,1.3
2,0.04,0.04,0.02,0.08,0.01,0.03,0.12,0.04,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.05,0.01,,,,,,0.62,0.26,0.51,0.11,0.93,3.48,0.25,0.29,7.17,,1.65,,0.3,,,,0.41,0.01,,,1.2
3,0.05,0.05,0.02,0.09,0.02,0.05,0.14,0.04,0.05,0.04,0.04,0.05,0.05,0.05,0.03,0.06,0.03,,,,,,,0.65,,0.4,,,0.18,0.34,,,1.63,,9.74,,,,0.47,0.01,4.23,0.23,1.26
4,0.04,0.04,0.02,0.08,0.01,0.04,0.12,0.04,0.04,0.02,0.02,0.03,0.03,0.04,0.01,0.02,,,,,,,,0.74,2.31,0.33,1.45,0.58,0.24,0.26,1.04,0.84,1.15,2.44,0.62,7.26,6.5,7.39,0.51,0.01,2.33,0.57,2.25
5,0.05,0.05,0.02,0.1,0.02,0.04,0.15,0.05,0.04,0.03,0.02,0.02,0.02,0.03,0.02,0.01,0.01,,0.94,,2.94,,0.28,0.11,0.36,0.04,0.95,1.66,0.22,0.29,1.6,1.24,1.23,1.12,0.22,2.47,2.42,2.45,0.47,,,15.52,1.8
6,0.03,0.03,0.02,0.06,0.01,0.02,0.09,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,,3.06,,0.13,0.32,0.26,0.45,0.34,1.41,0.13,3.1,,0.24,0.13,,,2.3,,0.18,,,,0.37,,5.7,,1.29
7,0.06,0.06,0.03,0.12,0.02,0.04,0.18,0.06,0.03,0.01,0.01,0.01,0.01,0.02,0.01,0.01,,1.54,0.76,0.23,0.67,1.01,11.74,0.27,2.88,0.13,2.75,27.58,0.15,0.08,95.43,10.48,1.22,12.29,0.7,6.22,5.46,6.03,0.42,,,,1.41
8,0.14,0.14,0.07,0.26,0.04,0.17,0.36,0.16,0.19,0.15,0.14,0.16,0.16,0.19,0.11,0.19,0.1,0.45,0.26,0.67,0.52,0.28,0.33,0.44,0.47,0.1,0.48,0.45,0.35,0.47,0.52,0.35,1.05,0.69,3.56,1.43,1.43,1.49,0.35,0.01,,1.53,1.67
9,0.04,0.04,0.02,0.08,0.01,0.03,0.12,0.04,0.02,0.03,0.04,0.02,0.02,0.03,0.07,0.07,0.05,0.08,0.1,0.04,0.05,0.11,0.52,0.45,0.88,0.14,1.08,1.36,0.55,0.23,2.54,0.89,1.19,3.05,2.41,4.38,4.12,4.38,0.72,0.01,,0.89,1.41
