,Close
Cumulative_Returns,1.0000000000000002
Close,1.0
Square_Root_Close,0.9992230580602096
Log_Close,0.9969822143210161
Close_Squared,0.9968592517811187
Moving_Average_3,0.9968326457986393
Moving_Average_5,0.99332521620529
EMA,0.9889960202725956
Close_Inverse,0.9881661025177251
Close_Cubed,0.9876266437909571
Short_EMA,0.9865765197044256
Upper_Band,0.9849890598622316
Rolling_Mean,0.9840464826437351
Moving_Average_10,0.9840464826437351
Moving_Average_15,0.9744926608709866
Long_EMA,0.9730927375538713
Lower_Band,0.9553754592335237
Expanding_Mean,0.9239493505941553
Signal_Line,0.6282337707535797
MACD,0.5984652945185382
Price_RoC_60,0.5823882458487241
Price_RoC_45,0.5397223547173073
Price_RoC_30,0.4596639096940436
Price_RoC_15,0.3053969065922313
Price_RoC_12,0.2676480786685012
Rolling_Std,0.2562039276868086
RSI,0.243261148934426
Price_RoC_10,0.2359530613098699
Price_RoC_7,0.1824995034511652
Std_Dev_RoC_10,0.17980819037534707
Price_RoC_5,0.14470633740476657
Z_Score,0.13604787263988277
Price_RoC_3,0.10481501817072739
Gain,0.09857966563992207
Std_Dev_RoC_5,0.08826281274361265
RS,0.08771272583862064
Price_Delta,0.0610711269179467
Tan_Close,0.05648689059877417
Price_RoC,0.05319573530597079
Log_Returns,0.051951723506055134
Sin_Close,0.04792040093907149
Loss,0.027654611976578636
Cos_Close,0.004124472320438679
