,Feature,Importance
17,Expanding_Mean,0.093840905
10,Short_EMA,0.0067287334
11,Rolling_Mean,0.0057214247
6,Close_Cubed,0.0051490692
0,Cumulative_Returns,0.0050271405
5,Close_Inverse,0.0049039377
9,EMA,0.0046535386
13,Lower_Band,0.004593473
16,Long_EMA,0.0044902386
4,Close_Squared,0.0024515982
14,Upper_Band,0.0023690565
2,Square_Root_Close,0.0021106103
8,Moving_Average_5,0.0019306816
7,Moving_Average_3,0.0013909148
1,Close,0.0013374212
15,Moving_Average_15,0.0012275755
3,Log_Close,0.0012013431
12,Moving_Average_10,0.0007029533
