,Close,Cumulative_Returns,Square_Root_Close,Close_Squared,Log_Close,Close_Cubed,Moving_Average_3,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Upper_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean,Price_RoC_60,Signal_Line,MACD,Price_RoC_45,Price_RoC_30,Cos_Close,Price_RoC_15,Rolling_Std,RSI,Price_RoC_12,RS,Price_RoC_10,Std_Dev_RoC_10,Price_RoC_7,Sin_Close,Z_Score,Price_RoC_5,Price_RoC_3,Gain,Std_Dev_RoC_5,Price_Delta,Price_RoC,Log_Returns,Loss,Tan_Close
0,0.06,0.06,0.03,0.12,0.02,0.18,0.03,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.03,,0.56,0.88,,0.29,2.42,,,0.35,0.21,,0.5,,0.16,,1.11,29.04,92.15,6.02,1.88,0.45,4.45,4.27,4.57,1.65,23.83
1,0.03,0.03,0.02,0.07,0.01,0.11,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.01,0.08,0.01,0.13,0.45,0.2,0.33,2.49,,0.64,0.34,0.1,0.44,0.26,0.62,0.21,1.48,,1.36,2.01,2.77,1.32,0.39,22.08,16.09,22.99,1.48,
2,0.03,0.03,0.01,0.05,0.01,0.08,0.02,0.03,0.02,0.01,,,,,0.01,,0.01,,0.48,0.07,0.27,3.33,0.28,,2.35,0.13,0.16,3.05,0.39,1.75,0.32,38.22,,,,,2.66,0.35,,,,1.29,
3,0.05,0.05,0.03,0.11,0.02,0.16,0.05,0.05,0.05,0.03,0.03,0.01,0.03,0.03,0.02,0.02,0.06,,4.27,1.98,,,25.47,,,0.39,0.61,,0.87,,0.16,,1.35,,,,2.88,0.21,,,,0.9,3.21
4,0.06,0.06,0.03,0.11,0.02,0.17,0.05,0.06,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.04,,,,,,,2.13,,0.1,0.65,,0.85,,0.48,,0.56,,23.18,7.44,0.95,0.69,7.55,7.02,8.05,1.7,
5,0.05,0.05,0.02,0.1,0.02,0.15,0.04,0.05,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.02,0.05,,1.2,,3.31,,,,0.53,0.08,0.17,0.63,0.85,0.51,0.15,0.61,,0.88,1.06,3.08,1.25,0.53,4.91,4.32,4.96,2.72,
6,0.04,0.04,0.02,0.08,0.01,0.12,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.08,0.01,0.59,0.4,0.21,0.44,0.29,0.46,0.46,0.29,0.13,0.45,0.37,0.48,0.15,1.38,,1.52,2.1,2.34,1.25,0.33,6.5,5.44,6.2,2.26,183.32
7,0.06,0.06,0.03,0.12,0.02,0.18,0.05,0.06,0.05,0.03,0.02,0.01,0.03,0.03,0.02,0.01,0.05,,2.84,0.34,0.83,0.84,0.63,,,0.2,0.31,,0.7,,0.22,,,,,,1.76,0.25,,,,1.03,4.04
8,0.04,0.04,0.02,0.07,0.01,0.11,0.03,0.04,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,,1.16,0.35,1.05,0.34,0.99,,,0.2,0.24,10.15,0.53,3.6,0.25,1.0,,1.06,1.21,2.49,1.15,0.34,6.45,5.76,6.33,1.83,3.39
9,0.04,0.04,0.02,0.07,0.01,0.11,0.03,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,,0.18,0.17,0.52,0.62,,2.51,1.04,0.13,0.1,1.45,0.26,2.8,0.3,,,,,,1.46,0.27,,,,1.59,
