,Cumulative_Returns,Close,Square_Root_Close,Moving_Average_3,Moving_Average_5,Log_Close,Close_Squared,EMA,Upper_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Close_Inverse,Long_EMA,Close_Cubed,Lower_Band,Expanding_Mean,Rolling_Std,MACD,Signal_Line,Price_RoC_60,Price_RoC_30,Price_RoC_15,Price_RoC_12,Price_RoC_45,Price_RoC_10,RSI,Price_RoC_7,Std_Dev_RoC_5,Gain,Std_Dev_RoC_10,RS,Price_RoC_5,Price_RoC_3,Sin_Close,Z_Score,Price_Delta,Price_RoC,Log_Returns,Loss,Tan_Close,Cos_Close
0,0.05,0.05,0.02,0.04,0.04,0.01,0.1,0.03,0.01,0.03,0.02,0.02,0.02,0.05,0.02,0.15,0.04,0.01,0.25,,,,,,,,,0.11,,0.25,1.82,0.08,0.18,,,,,,,,1.38,2.19,
1,0.03,0.03,0.02,0.03,0.03,0.01,0.07,0.02,0.02,0.02,0.02,0.02,,0.04,,0.1,0.02,,0.11,,,,,,3.41,,2.01,0.23,1.03,0.25,1.35,0.29,0.56,0.73,1.17,,0.89,3.06,3.02,3.09,2.08,2.84,16.33
2,0.02,0.02,0.01,0.03,0.02,0.01,0.04,0.01,,0.01,0.01,0.01,,0.02,0.01,0.07,0.02,,0.2,,,,,1.67,52.01,,,0.19,,0.29,2.44,0.15,0.41,,,,,,,,0.95,,
3,0.03,0.03,0.01,0.02,0.02,0.01,0.06,0.01,0.02,0.01,0.01,0.01,,0.03,0.01,0.08,0.01,,0.29,,,,1.29,9.48,2.74,,1.84,0.26,0.62,0.26,0.77,0.31,0.69,0.53,0.82,,0.64,1.63,1.59,1.62,3.16,4.2,2.08
4,0.12,0.12,0.06,0.11,0.1,0.03,0.25,0.08,0.13,0.07,0.07,0.07,0.06,0.12,0.05,0.38,0.02,0.01,0.51,0.59,0.68,0.86,0.51,0.47,0.5,0.73,0.5,0.07,0.5,0.72,1.72,0.44,0.48,0.64,0.88,,0.34,2.02,2.01,1.99,3.0,,
5,0.02,0.02,0.01,0.01,0.01,0.01,0.04,0.02,0.05,0.03,0.04,0.04,0.05,0.02,0.03,0.07,0.14,0.01,0.81,0.1,0.11,0.15,0.07,0.31,0.64,0.16,0.99,0.08,2.04,0.83,1.66,0.29,0.46,5.37,,,,,,,1.01,5.19,1.03
6,0.05,0.05,0.02,0.05,0.04,0.01,0.09,0.03,0.04,0.03,0.03,0.03,0.02,0.05,0.03,0.13,0.03,0.01,0.3,0.05,0.02,0.17,0.1,0.5,0.76,0.18,0.88,0.12,0.83,0.44,0.97,0.45,0.28,1.05,1.4,,0.98,2.75,2.54,2.64,1.68,162.73,
7,0.03,0.03,0.01,0.02,0.02,0.01,0.05,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.02,0.07,0.01,0.01,0.06,0.08,0.06,0.05,0.5,0.39,0.68,0.04,0.92,0.07,0.67,0.33,1.63,0.21,0.17,1.79,3.24,,1.12,5.58,5.37,5.6,1.33,,4.66
8,0.01,0.01,0.01,0.01,0.01,,0.03,,0.01,,,,0.01,0.01,0.01,0.05,0.02,0.01,0.39,0.19,0.14,0.04,0.26,0.81,1.3,0.16,1.81,0.09,9.8,0.44,1.56,0.15,0.21,310.8,16.02,,29.06,6.32,6.12,6.42,1.49,2.17,0.78
9,0.02,0.02,0.01,0.02,0.01,,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.02,,0.06,0.01,0.01,0.14,0.5,0.3,0.14,1.34,,,0.28,,0.13,,0.22,1.65,0.12,0.27,,,,,,,,1.75,60.12,
