,Feature,Importance
16,Expanding_Mean,0.09629355
0,Cumulative_Returns,0.007845024
4,Close_Squared,0.0054786215
7,Moving_Average_5,0.005274174
3,Log_Close,0.005107784
10,Rolling_Mean,0.004620892
6,Moving_Average_3,0.0041865576
11,Moving_Average_10,0.0031691815
2,Square_Root_Close,0.0031048267
9,Short_EMA,0.0027527069
1,Close,0.0020542578
5,Close_Inverse,0.00180128
14,Long_EMA,0.0015491217
13,Moving_Average_15,0.0013422996
15,Lower_Band,0.0012565914
12,Upper_Band,0.0011684352
8,EMA,0.00089492573
