,Feature,Importance
16,Expanding_Mean,0.08348605
15,Long_EMA,0.014557898
11,Moving_Average_10,0.0060395827
12,Moving_Average_15,0.005062119
5,Close_Inverse,0.0049689924
4,Close_Squared,0.0037744683
10,Rolling_Mean,0.0035038472
7,Moving_Average_5,0.0034197986
3,Log_Close,0.0031021675
14,Upper_Band,0.0028466275
8,EMA,0.0026074091
9,Short_EMA,0.0021926183
2,Square_Root_Close,0.002124738
0,Close,0.002049786
6,Moving_Average_3,0.0017974663
1,Cumulative_Returns,0.0017767247
13,Lower_Band,0.0016431983
