,Feature,Importance
17,Expanding_Mean,0.08991163
16,Long_EMA,0.010849846
10,Short_EMA,0.0066609136
12,Moving_Average_10,0.0061561503
6,Close_Inverse,0.0052529974
4,Close_Squared,0.0051460764
1,Close,0.0045326166
8,Moving_Average_5,0.004366505
13,Lower_Band,0.0039703567
7,Moving_Average_3,0.0036629688
14,Moving_Average_15,0.002837894
15,Upper_Band,0.002629783
5,Close_Cubed,0.0024025545
0,Cumulative_Returns,0.0022955032
9,EMA,0.0021011322
3,Log_Close,0.0016062278
11,Rolling_Mean,0.0009734053
2,Square_Root_Close,0.0008609467
