,Close,Cumulative_Returns,Square_Root_Close,Close_Squared,Log_Close,Moving_Average_3,Moving_Average_5,Close_Cubed,Close_Inverse,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Lower_Band,Long_EMA,Upper_Band,Expanding_Mean,Signal_Line,Rolling_Std,MACD,RS,RSI,Std_Dev_RoC_10,Price_RoC_60,Price_RoC_30,Price_RoC_45,Price_RoC_15,Gain,Z_Score,Price_RoC_12,Price_RoC_10,Price_RoC_7,Price_RoC_5,Std_Dev_RoC_5,Price_RoC_3,Price_Delta,Price_RoC,Cos_Close,Log_Returns,Sin_Close,Tan_Close,Loss
0,0.01,0.01,0.01,0.03,,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.02,0.05,0.02,0.02,0.01,0.07,0.77,0.18,0.38,0.18,0.28,0.35,0.31,0.08,0.62,1.62,,1.11,1.65,3.82,,0.71,,23.73,20.67,,23.94,8.86,,1.44
1,0.02,0.02,0.01,0.03,,0.01,0.01,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.08,0.26,0.07,0.28,0.11,0.44,0.16,0.23,0.16,0.83,1.3,0.65,0.79,0.7,0.77,1.08,0.23,1.44,3.32,3.28,,3.34,,,1.65
2,0.01,0.01,0.01,0.03,,0.01,0.01,0.04,0.01,,,,,,,0.01,,0.01,0.1,0.05,0.16,0.27,0.11,0.16,0.05,0.92,0.1,0.67,1.25,2.36,0.99,0.96,2.33,4.38,0.21,5.51,,,,,,2.27,1.54
3,0.04,0.04,0.02,0.07,0.01,0.03,0.03,0.11,0.04,0.02,0.01,0.01,0.01,0.01,0.03,,0.01,,0.34,0.36,1.01,0.6,0.29,0.44,0.4,1.61,0.78,,1.33,,,,,,0.24,,,,5.29,,,,1.34
4,0.05,0.05,0.02,0.09,0.01,0.04,0.04,0.14,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.03,,,0.27,,0.59,0.36,0.38,0.22,,8.81,,1.07,3.42,,,2.88,2.12,0.62,2.56,4.62,4.38,,4.61,3.76,4.61,1.88
5,0.05,0.05,0.02,0.1,0.01,0.04,0.02,0.15,0.05,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.03,,0.77,0.35,0.83,0.28,0.1,0.3,0.76,3.58,0.87,0.64,1.72,3.29,0.24,0.87,2.59,3.02,0.39,2.41,2.58,2.64,,2.65,12.15,2.21,1.37
6,0.04,0.04,0.02,0.07,0.01,0.03,0.03,0.11,0.03,0.03,0.03,0.04,0.04,0.03,0.06,0.02,0.02,0.01,0.31,0.3,0.18,0.37,0.08,0.2,0.2,0.41,0.29,0.35,1.02,0.46,0.23,0.33,0.53,0.72,0.29,1.15,2.29,2.26,,2.32,8.51,,2.15
7,0.02,0.02,0.01,0.04,,0.02,0.02,0.06,0.02,0.02,0.02,0.03,0.03,0.03,0.05,0.02,0.01,0.01,0.09,0.3,0.03,0.26,0.08,0.16,0.07,0.18,0.21,0.2,1.35,0.42,0.2,0.32,0.56,0.91,0.22,1.05,3.5,3.42,9.48,3.52,,29.88,1.65
8,0.03,0.03,0.02,0.06,0.01,0.03,0.02,0.1,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.11,0.27,0.28,0.6,0.23,0.19,0.22,0.42,0.2,1.41,1.26,,2.27,7.99,,,0.28,,,,,,4.25,,1.93
9,0.01,0.01,0.01,0.02,,0.01,0.01,0.03,0.01,,,0.01,0.01,0.01,0.01,,0.02,0.01,0.26,0.35,0.29,0.23,0.12,0.26,0.13,0.4,0.08,,1.72,2.48,,,142.54,3.77,0.32,2.73,4.96,4.83,,4.94,,6.01,1.52
10,0.07,0.07,0.03,0.14,0.01,0.07,0.06,0.22,0.07,0.04,0.03,0.03,0.03,0.02,0.08,0.02,0.02,,2.61,0.57,,1.16,0.49,0.32,0.7,,1.86,,1.14,,,,,,0.46,,,,23.17,,,10.9,1.72
11,0.05,0.05,0.03,0.1,0.01,0.04,0.03,0.15,0.05,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.04,,,0.36,,0.66,0.4,0.52,0.31,,,,2.48,5.6,,,1.81,1.55,0.45,3.44,8.1,7.24,10.06,8.11,2.2,9.5,1.33
12,0.02,0.02,0.01,0.04,,0.02,0.02,0.06,0.02,0.02,0.02,0.02,0.02,0.03,0.05,0.01,0.01,,182.07,0.33,0.77,0.31,0.08,0.27,0.44,,,0.4,0.96,0.38,0.51,0.57,0.71,0.74,0.62,0.6,2.75,2.61,2.81,2.67,42.43,2.94,2.92
13,0.03,0.03,0.02,0.06,0.01,0.03,0.03,0.09,0.03,0.02,0.02,0.02,0.02,0.01,0.03,0.01,0.01,,0.44,0.35,1.39,0.79,0.39,0.14,,0.74,,,2.39,,,,,,0.27,,,,3.77,,1.14,1.65,1.42
14,0.05,0.05,0.02,0.09,0.01,0.04,0.03,0.14,0.04,0.02,0.02,0.02,0.02,0.01,,0.01,0.04,,3.81,0.43,2.81,1.01,0.4,0.35,,0.75,2.37,7.06,0.95,0.56,2.21,1.47,0.78,0.68,0.39,0.87,1.48,1.5,,1.51,19.63,,2.88
15,0.04,0.04,0.02,0.07,0.01,0.03,0.03,0.11,0.04,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,,0.18,0.26,0.43,0.74,0.26,0.37,1.5,1.99,0.59,0.85,1.62,,1.87,3.95,,,0.33,,,,33.06,,,3.32,1.31
16,0.02,0.02,0.01,0.04,,0.01,0.01,0.06,0.02,,,0.01,0.01,0.01,0.01,,0.02,,0.81,0.31,,0.37,0.19,0.38,0.3,0.61,2.2,,1.22,11.74,,,,,0.26,4.38,3.72,3.6,,3.73,,,1.9
17,0.03,0.03,0.02,0.06,0.01,0.02,0.01,0.09,0.03,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.02,,0.57,0.1,0.47,0.2,0.08,0.06,0.45,0.9,0.86,0.45,1.15,0.83,0.61,0.72,0.7,1.07,0.25,2.0,5.39,5.14,,5.55,,,2.13
18,0.03,0.03,0.02,0.06,0.01,0.03,0.04,0.09,0.03,0.03,0.03,0.04,0.04,0.03,0.05,0.02,0.04,,0.37,0.22,0.26,0.28,0.07,0.08,0.19,0.45,0.12,0.29,0.78,0.41,0.19,0.37,0.46,0.79,0.32,1.32,1.98,1.9,21.41,1.94,,1.72,2.2
19,0.02,0.02,0.01,0.03,,0.01,0.01,0.05,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.06,0.2,0.09,0.48,0.15,0.12,0.13,0.11,0.15,0.62,1.38,1.96,0.66,0.69,1.64,1.96,0.12,4.54,,154.97,3.19,,,4.18,1.91
20,0.02,0.02,0.01,0.05,,0.02,0.02,0.07,0.02,0.01,0.01,0.02,0.02,0.01,0.02,,0.01,,0.3,0.13,0.55,0.52,0.32,0.15,0.36,0.3,0.11,,1.88,,,,,,0.52,,23.15,20.12,1.28,23.69,,,1.1
21,0.03,0.03,0.01,0.06,,0.04,0.05,0.08,0.03,0.04,0.04,0.04,0.04,0.02,0.06,0.02,0.05,0.01,0.32,0.26,0.34,0.5,0.13,0.23,0.24,0.18,0.09,0.45,1.06,0.34,0.41,0.38,0.39,0.53,0.47,0.78,1.48,1.49,,1.49,,,1.81
22,0.03,0.03,0.01,0.06,,0.01,0.01,0.09,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.03,0.48,0.08,0.68,0.14,0.29,0.09,0.3,0.23,0.55,1.95,1.48,0.75,0.8,1.28,2.01,0.8,2.4,3.12,3.11,2.18,3.14,9.3,,2.3
23,0.14,0.14,0.07,0.26,0.03,0.1,0.06,0.36,0.16,0.04,0.03,0.02,0.02,0.01,0.11,0.01,0.06,,0.22,0.67,0.83,0.55,0.35,0.73,0.67,1.14,1.32,,1.74,,,,,,0.73,,,,,,,,2.83
24,0.05,0.05,0.02,0.09,0.01,0.04,0.03,0.14,0.05,0.03,0.03,0.04,0.04,0.04,0.06,0.02,0.11,,,0.45,,0.25,0.16,0.32,2.46,,9.62,,1.71,,,,,,0.45,5.92,,,,,2.2,8.55,1.01
25,0.01,0.01,0.01,0.02,,0.01,,0.03,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.03,,,0.26,,0.44,0.28,0.03,,,,,0.94,,,,,,0.3,1.13,1.82,1.78,2.08,1.79,2.65,,2.0
