,Feature,Importance
17,Expanding_Mean,0.09160578
16,Long_EMA,0.012238706
1,Cumulative_Returns,0.005093309
6,Close_Inverse,0.004725404
14,Moving_Average_15,0.0043280167
11,Rolling_Mean,0.004199785
3,Log_Close,0.0036122273
4,Close_Squared,0.0033348147
5,Close_Cubed,0.0030796386
7,Moving_Average_3,0.0029269543
0,Close,0.0024823896
9,EMA,0.0020615957
12,Moving_Average_10,0.0019024633
2,Square_Root_Close,0.0015864496
8,Moving_Average_5,0.0014957499
10,Short_EMA,0.0014053441
13,Upper_Band,0.001344087
15,Lower_Band,0.0011437588
