,Close,Cumulative_Returns,Square_Root_Close,Close_Squared,Log_Close,Moving_Average_3,Moving_Average_5,Close_Cubed,EMA,Close_Inverse,Short_EMA,Upper_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean,Rolling_Std,Std_Dev_RoC_10,MACD,Gain,Std_Dev_RoC_5,Signal_Line,Price_RoC_10,Price_RoC_7,Price_RoC_12,Price_RoC_15,Price_RoC_5,Loss,Price_RoC_3,Sin_Close,RSI,Price_Delta,Z_Score,Price_RoC,Price_RoC_30,Log_Returns,Cos_Close,RS,Tan_Close,Price_RoC_60,Price_RoC_45
0,0.05,0.05,0.03,0.1,0.02,0.04,0.03,0.15,0.01,0.05,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.17,0.19,0.17,1.35,0.4,0.19,32.27,6.87,,,12.51,1.36,9.21,,0.16,16.0,141.45,11.2,0.42,16.01,,0.27,19.73,0.14,0.29
1,0.06,0.06,0.03,0.11,0.02,0.08,0.09,0.16,0.07,0.06,0.07,0.09,0.08,0.08,0.06,0.05,0.13,0.02,0.38,0.24,0.32,0.81,0.32,0.36,0.31,0.75,0.23,0.34,1.04,2.18,1.33,,0.09,2.2,0.58,1.97,0.23,2.09,,0.29,,0.21,0.22
2,0.07,0.07,0.04,0.14,0.02,0.07,0.07,0.21,0.06,0.07,0.06,0.08,0.05,0.05,0.05,0.05,0.03,0.02,0.36,0.15,0.16,0.92,0.27,0.14,0.45,0.48,0.34,0.28,0.35,1.78,0.57,12.7,0.03,1.5,0.26,1.47,0.31,1.49,,0.1,,0.08,0.14
3,0.05,0.05,0.02,0.09,0.01,0.04,0.03,0.14,0.03,0.05,0.04,0.02,0.04,0.04,0.05,0.04,0.06,0.02,0.16,0.27,0.09,1.54,0.35,0.05,0.77,0.93,0.65,0.41,2.91,1.22,11.79,,0.14,,1.9,,0.11,,,0.42,13.01,0.15,0.09
4,0.06,0.06,0.03,0.11,0.02,0.04,0.03,0.17,0.02,0.06,0.02,0.05,0.03,0.03,0.02,0.01,0.04,0.01,0.21,0.44,0.5,1.42,0.29,0.33,,,,,,1.66,,3.17,0.17,,,,0.49,,5.19,0.28,,0.22,0.26
5,0.12,0.12,0.06,0.24,0.04,0.12,0.11,0.36,0.08,0.13,0.07,0.11,0.07,0.07,0.04,0.04,0.03,0.02,0.33,0.34,0.71,0.92,0.48,0.41,0.78,0.85,0.8,1.0,0.74,3.02,0.7,,0.2,1.41,0.73,1.45,0.49,1.48,2.78,0.38,3.05,0.34,0.19
6,0.13,0.13,0.07,0.27,0.04,0.11,0.09,0.41,0.08,0.13,0.08,0.1,0.07,0.07,0.08,0.06,0.05,0.02,0.32,0.18,0.25,1.1,0.3,0.22,0.46,0.78,0.27,0.29,1.06,1.83,1.69,,0.05,3.24,0.72,3.17,0.73,3.59,,0.17,3.23,0.22,0.19
7,0.12,0.12,0.06,0.23,0.03,0.11,0.08,0.35,0.03,0.11,0.03,0.02,0.03,0.03,0.03,0.02,0.07,0.02,0.12,0.32,0.32,1.51,0.49,0.1,2.16,270.36,1.22,0.68,,1.28,,24.59,0.14,,,,0.26,,27.48,0.37,3.21,0.24,0.44
8,0.05,0.05,0.03,0.11,0.01,0.04,0.03,0.16,0.02,0.05,0.02,0.05,0.02,0.02,0.02,0.02,0.05,0.02,0.34,0.43,0.13,1.25,0.46,0.17,14.91,1.01,,,0.94,1.42,2.67,52.6,0.18,9.53,1.5,7.53,0.28,9.29,,0.34,,0.18,0.19
9,0.11,0.11,0.05,0.21,0.03,0.09,0.07,0.32,0.04,0.1,0.03,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.18,0.26,0.66,1.4,0.5,0.22,7.08,,3.73,1.82,,0.91,,,0.17,,,,1.93,,,0.44,,0.26,0.51
10,0.13,0.13,0.06,0.25,0.03,0.1,0.08,0.37,0.04,0.13,0.04,0.04,0.06,0.06,0.02,0.03,0.13,0.02,0.13,0.19,0.32,2.81,0.41,0.25,0.48,1.78,0.58,1.23,2.66,0.99,4.94,1.16,0.1,58.11,3.81,12.3,0.5,47.59,6.41,0.24,4.44,0.21,0.48
11,0.06,0.06,0.03,0.11,0.01,0.06,0.07,0.18,0.06,0.05,0.06,0.15,0.1,0.1,0.07,0.04,0.05,0.01,0.41,0.35,,1.56,0.48,65.62,,,,,,1.27,,1.88,0.58,,,,,,2.74,0.8,,0.76,
12,0.08,0.08,0.04,0.15,0.02,0.06,0.04,0.23,0.03,0.08,0.02,0.02,0.01,0.01,0.01,0.02,0.04,0.01,0.32,0.15,,2.73,0.31,,,,,,,1.06,,10.85,0.12,,,,,,,0.21,,,
13,0.03,0.03,0.01,0.05,0.01,0.03,0.03,0.08,0.04,0.03,0.04,0.12,0.06,0.06,0.05,0.04,0.02,,0.56,0.41,,1.74,0.31,,,,,,,1.21,,2.31,0.44,,,,,,0.41,0.52,2.01,,
14,0.11,0.11,0.05,0.22,0.03,0.09,0.07,0.33,0.05,0.1,0.04,0.09,0.04,0.04,0.02,0.01,0.02,,0.54,0.21,,1.0,0.45,,1.12,0.93,1.33,2.16,1.12,2.52,1.28,4.25,0.25,2.49,0.85,2.41,,2.6,,0.62,,,
15,0.08,0.08,0.04,0.16,0.02,0.05,0.04,0.24,0.03,0.08,0.03,0.02,0.05,0.05,0.05,0.02,0.11,0.01,0.28,0.27,0.33,1.67,0.3,0.85,1.37,3.24,0.96,0.53,,1.06,,,0.14,,,,0.69,,25.83,0.39,3.16,,8.92
16,0.06,0.06,0.03,0.12,0.02,0.04,0.03,0.18,0.03,0.06,0.03,0.07,0.05,0.05,0.04,0.02,0.03,,0.28,0.57,,2.96,0.47,2.28,,,,,,0.82,,,0.16,,,,1.18,,10.63,0.27,,,
17,0.2,0.2,0.1,0.41,0.05,0.17,0.13,0.61,0.09,0.18,0.08,0.17,0.06,0.06,0.04,0.04,0.12,,0.68,0.61,8.52,1.74,0.3,,1.38,1.32,1.37,1.97,0.92,2.0,0.99,,0.27,2.27,0.77,2.13,0.82,2.09,4.1,0.64,9.82,2.52,0.99
18,0.06,0.06,0.03,0.12,0.02,0.04,0.03,0.18,0.04,0.06,0.04,0.05,0.08,0.08,0.09,0.05,0.26,0.01,0.5,0.25,0.12,1.59,0.6,0.31,0.86,1.56,0.5,0.3,2.9,1.12,,,0.09,,23.57,,0.3,,14.96,0.28,,0.22,0.18
19,0.05,0.05,0.03,0.11,0.01,0.04,0.04,0.16,0.02,0.05,0.02,0.01,0.01,0.01,,0.02,0.01,0.01,0.07,0.59,0.09,1.26,0.36,0.1,,4.93,,2.94,2.66,2.19,2.98,,0.13,6.66,3.67,5.65,0.2,6.53,2.81,0.3,,0.18,0.35
20,0.1,0.1,0.05,0.19,0.02,0.09,0.07,0.29,0.05,0.09,0.04,0.01,0.04,0.04,0.01,0.01,0.08,0.01,0.32,0.34,1.19,2.11,0.37,0.39,,,,,,0.68,,11.63,0.24,,,,1.29,,4.44,0.41,4.33,0.66,0.23
21,0.04,0.04,0.02,0.08,0.01,0.03,0.02,0.12,0.02,0.04,0.03,0.08,0.04,0.04,0.05,0.02,0.01,,0.44,0.42,,1.71,0.32,,,,,,,1.85,50.78,,0.36,,,,,,,0.45,2.87,2.03,0.28
22,0.09,0.09,0.05,0.19,0.02,0.06,0.04,0.28,0.02,0.09,0.02,0.06,0.02,0.02,0.01,0.01,0.04,,0.37,0.18,,1.17,0.5,,3.38,4.32,8.26,8.33,13.0,2.7,,,0.19,24.3,6.3,10.72,,23.4,3.12,0.45,,0.41,
23,0.06,0.06,0.03,0.12,0.02,0.05,0.03,0.18,0.02,0.06,0.02,0.04,0.01,0.01,0.01,0.01,0.02,,0.2,0.05,,1.91,0.4,,,,,133.5,,1.08,14.68,3.18,0.14,,,,,,,0.25,,4.86,
24,0.04,0.04,0.02,0.08,0.01,0.02,0.01,0.12,0.01,0.04,0.01,0.05,0.02,0.02,0.01,0.01,0.02,,0.47,0.13,,1.07,0.32,,,,,,3.8,1.83,2.06,9.28,0.21,2.73,4.11,2.71,,2.8,,0.4,,,
25,0.02,0.02,0.01,0.03,,0.02,0.02,0.05,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.02,,0.1,0.07,2.42,1.48,0.12,,0.16,0.19,0.19,0.38,0.45,1.68,1.01,0.15,0.05,11.73,0.38,10.41,0.56,11.5,3.91,0.15,1.16,,1.3
