,Feature,Importance
17,Expanding_Mean,0.093073756
16,Long_EMA,0.010162872
2,Square_Root_Close,0.0070348093
1,Close,0.0063694357
14,Moving_Average_15,0.0059639076
3,Log_Close,0.0057169264
11,Rolling_Mean,0.0051560923
6,Close_Inverse,0.0049335607
9,EMA,0.003977839
12,Moving_Average_10,0.0033342694
8,Moving_Average_5,0.0033201724
5,Close_Cubed,0.0031912003
7,Moving_Average_3,0.0029351534
15,Upper_Band,0.0025206595
4,Close_Squared,0.0023662024
0,Cumulative_Returns,0.00203167
10,Short_EMA,0.0015475951
13,Lower_Band,0.0012138041
