,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Squared,Moving_Average_3,Moving_Average_5,Close_Cubed,Close_Inverse,Upper_Band,EMA,Rolling_Mean,Moving_Average_10,Short_EMA,Moving_Average_15,Lower_Band,Long_EMA,Price_RoC_60,Price_RoC_45,Expanding_Mean,Signal_Line,MACD,Price_RoC_30,Rolling_Std,Price_RoC_15,RS,RSI,Price_RoC_12,Price_RoC_10,Price_RoC_7,Gain,Price_RoC_5,Sin_Close,Price_RoC_3,Z_Score,Loss,Tan_Close,Price_Delta,Log_Returns,Price_RoC,Std_Dev_RoC_10,Cos_Close,Std_Dev_RoC_5
10,0.03,0.03,0.02,0.01,0.07,0.03,0.02,0.1,0.03,,0.01,0.01,0.01,0.01,,0.01,,0.16,0.26,0.01,0.26,0.44,0.69,0.1,,0.13,0.07,,,,2.15,,,,,1.09,2.41,,,,0.16,,0.31
11,0.03,0.03,0.01,0.01,0.05,0.03,0.03,0.08,0.02,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.11,1.69,0.01,,,,0.28,,0.41,0.28,,,,2.33,,0.21,,,1.09,,,,,0.3,,0.38
12,0.02,0.02,0.01,0.01,0.05,0.02,0.02,0.07,0.02,,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.96,,,,,,0.27,,0.19,0.12,,,,1.97,,0.05,,,1.19,,,,,0.26,1.85,0.21
13,0.04,0.04,0.02,0.01,0.08,0.04,0.03,0.13,0.04,0.01,0.02,0.02,0.02,0.02,0.02,0.04,0.02,,,,,,,0.44,,0.32,0.2,,,,2.5,,0.82,,,0.88,2.47,,,,0.17,0.45,0.24
14,0.04,0.04,0.02,0.01,0.09,0.04,0.03,0.13,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.03,,,,,,,0.11,,0.25,0.17,,,,1.51,,,,,1.39,,,,,0.11,0.4,0.18
15,0.04,0.04,0.02,0.02,0.09,0.04,0.04,0.13,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.06,0.03,,,,,,,0.22,,0.2,0.14,,,,1.48,,,,,1.32,,,,,0.14,,0.33
16,0.04,0.04,0.02,0.02,0.09,0.04,0.04,0.13,0.05,0.05,0.02,0.02,0.02,0.02,0.01,0.02,,,,,,,,0.42,180.5,0.58,0.3,2.67,1.59,0.65,0.99,0.93,,0.94,0.74,1.82,,2.45,2.4,2.33,0.39,,0.45
17,0.04,0.04,0.02,0.02,0.08,0.05,0.05,0.12,0.05,0.06,0.04,0.05,0.05,0.04,0.04,0.04,0.02,,,,,0.75,0.6,0.21,0.24,0.28,0.07,0.33,0.29,0.42,1.49,0.92,2.05,1.65,0.57,1.94,4.17,2.44,2.41,2.39,0.11,0.18,0.29
18,0.09,0.09,0.04,0.03,0.18,0.08,0.07,0.26,0.09,0.09,0.06,0.04,0.04,0.05,0.04,0.03,0.04,2.11,0.79,,0.3,0.32,0.44,0.63,0.23,0.31,0.07,0.29,0.56,0.89,0.74,0.78,1.39,0.56,0.41,,3.12,0.74,0.72,0.73,0.22,,0.35
19,0.03,0.03,0.01,0.01,0.06,0.02,0.02,0.08,0.03,0.01,0.03,0.04,0.04,0.04,0.05,0.09,0.04,0.26,0.2,0.01,0.11,0.04,0.11,0.41,0.16,0.46,0.08,0.3,0.49,0.61,1.33,0.63,,1.5,0.47,1.22,2.83,5.4,5.41,5.11,0.22,,0.5
20,0.05,0.05,0.02,0.02,0.09,0.05,0.04,0.14,0.05,0.02,0.02,0.02,0.02,0.02,0.01,0.05,0.01,0.16,0.16,,0.21,0.43,0.45,0.46,16.56,0.5,0.23,,,,1.93,,,,,1.58,1.66,,,,0.11,,0.52
21,0.03,0.03,0.01,0.01,0.06,0.02,0.01,0.08,0.03,0.03,0.01,0.01,0.01,0.01,0.02,0.02,,0.13,0.36,,0.48,1.12,1.59,0.4,,0.28,0.18,,,,1.93,,1.37,,,1.15,,,,,0.29,,0.63
22,0.03,0.03,0.01,0.01,0.05,0.02,0.01,0.08,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0.62,,,,,0.15,,0.21,0.13,,,,1.52,,0.31,,,1.39,,,,,0.33,,0.3
23,0.02,0.02,0.01,0.01,0.03,0.02,0.02,0.05,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.69,,,,,,0.27,,0.3,0.2,,,,1.93,,0.09,,,1.36,2.52,,,,0.19,0.67,0.27
24,0.03,0.03,0.01,0.01,0.05,0.02,0.02,0.07,0.03,0.02,0.01,0.02,0.02,0.01,0.01,0.02,,,,,,,,0.17,4.19,0.31,0.16,1.15,0.79,0.94,1.54,1.05,0.09,1.56,1.04,1.4,3.94,4.88,4.96,4.69,0.19,,0.2
25,0.01,0.01,0.01,,0.03,0.01,0.01,0.04,0.01,0.01,0.01,,,0.01,0.01,,,,,,,0.87,,0.07,0.33,0.11,0.05,0.76,0.81,0.51,2.0,0.59,0.19,0.91,0.76,1.32,,,,,0.06,,0.17
