,Close,Cumulative_Returns,Square_Root_Close,Close_Squared,Log_Close,Close_Cubed,Moving_Average_3,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Lower_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Price_RoC_60,Signal_Line,Price_RoC_45,MACD,Price_RoC_30,Std_Dev_RoC_10,Sin_Close,Std_Dev_RoC_5,Price_RoC_15,Price_RoC_12,RSI,Price_RoC_10,RS,Price_RoC_7,Rolling_Std,Cos_Close,Price_RoC_5,Loss,Price_RoC_3,Z_Score,Expanding_Mean,Price_Delta,Log_Returns,Price_RoC,Tan_Close,Gain
0,0.11,0.11,0.06,0.22,0.03,0.32,0.1,0.12,0.08,0.06,0.05,0.12,0.04,0.04,0.03,0.03,0.03,,,,,,0.82,,0.45,,,0.47,,0.73,,0.76,1.45,,1.05,,,,,,,9.46,1.66
1,0.03,0.03,0.01,0.06,0.01,0.09,0.01,0.03,0.01,0.03,0.03,0.03,0.04,0.04,0.06,0.03,0.1,,,,,,0.29,,0.44,,,0.32,,0.54,,0.66,,,1.51,,,0.01,18.75,19.18,14.49,5.66,1.22
2,0.02,0.02,0.01,0.03,,0.05,0.01,0.02,0.01,,,0.02,0.01,0.01,,0.01,0.01,,,,,,0.4,,0.34,2.68,1.26,0.14,1.26,0.34,0.81,0.22,0.63,1.67,1.49,3.66,0.77,,,,,,1.51
3,0.02,0.02,0.01,0.03,,0.05,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,,0.01,,,,,,0.17,,0.46,0.62,0.4,0.1,0.79,0.31,1.68,0.2,0.11,3.38,1.69,7.2,2.36,,5.67,5.66,5.43,,1.02
4,0.04,0.04,0.02,0.09,0.01,0.13,0.04,0.04,0.04,0.03,0.03,0.05,0.03,0.03,0.02,0.02,0.02,,,,,,0.27,,0.4,,,0.28,,0.59,,0.35,,,1.37,,,0.01,,,,4.29,1.72
5,0.02,0.02,0.01,0.05,0.01,0.07,0.02,0.02,0.03,0.02,0.01,0.02,0.02,0.02,0.01,,0.02,,,3.35,,,0.36,,0.32,20.97,2.23,0.21,1.01,0.47,0.74,0.15,1.07,0.66,1.35,0.8,0.55,,4.25,4.28,4.13,,1.28
6,0.03,0.03,0.02,0.07,0.01,0.1,0.03,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.03,,1.68,0.43,0.67,2.53,0.22,2.56,0.18,0.21,0.31,0.05,0.41,0.14,0.66,0.33,0.42,1.01,1.51,1.52,0.93,,3.4,3.44,3.34,4.24,1.23
7,0.02,0.02,0.01,0.04,0.01,0.05,0.02,0.02,0.01,,,0.01,,,0.01,,,0.25,0.09,1.11,0.27,0.16,0.31,0.81,0.29,0.58,1.64,0.11,7.31,0.28,,0.2,0.29,,1.45,117.29,,,21.02,21.65,19.0,1.03,1.62
8,0.01,0.01,0.01,0.02,,0.04,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.21,0.08,0.51,0.08,0.15,0.13,0.08,0.46,0.67,0.75,0.16,0.5,0.54,0.59,0.31,,0.92,1.88,1.41,0.57,,9.03,8.92,8.46,,0.83
9,0.01,0.01,0.01,0.03,,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.25,0.1,0.15,0.1,0.22,0.15,1.18,0.22,0.19,0.24,0.05,0.31,0.21,0.44,0.15,,0.49,1.81,1.22,0.41,,2.11,2.08,2.07,,0.94
10,0.01,0.01,0.01,0.02,,0.04,0.01,0.01,,,,,,,0.01,0.01,,0.16,0.08,0.25,0.15,0.32,0.21,2.45,0.19,0.78,1.67,0.13,2.58,0.3,21.86,0.17,,,1.79,,,,,,,,1.27
11,0.01,0.01,0.01,0.02,,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,0.2,0.71,0.5,3.09,1.09,0.08,0.21,0.36,,,0.08,,0.13,,0.26,,,1.35,,,,,,,7.89,1.35
12,0.01,0.01,0.01,0.03,,0.04,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,,0.01,0.31,0.46,0.36,0.38,3.63,0.33,6.36,0.27,0.79,0.49,0.08,0.41,0.19,1.35,0.25,,2.46,1.36,3.71,1.6,,7.29,7.28,6.9,,1.13
13,0.02,0.02,0.01,0.04,0.01,0.07,0.02,0.02,0.01,0.01,0.01,0.01,,,,,,0.54,0.19,1.84,0.63,4.55,0.25,5.26,0.31,3.69,10.06,0.18,,0.37,,0.19,,,1.69,,,,,,,,2.01
14,0.02,0.02,0.01,0.04,0.01,0.06,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.21,,,,,0.16,0.34,0.42,,,0.24,,0.39,,0.07,,,1.73,21.59,,,inf,5.953653038272743e+16,116.89,4.89,0.98
15,0.03,0.03,0.01,0.06,0.01,0.09,0.02,0.03,0.02,0.01,0.01,0.02,0.01,0.01,,0.01,0.01,,,,,,0.12,0.39,0.23,,,0.12,,0.24,,0.24,,,1.12,,,,,,,,1.49
16,0.02,0.02,0.01,0.05,0.01,0.07,0.01,0.02,0.01,,,,0.01,0.01,0.01,0.01,0.01,,,,,,0.12,0.53,0.39,,,0.12,,0.2,,0.12,0.8,,1.64,,,,20.91,20.94,16.01,1.19,1.42
17,0.03,0.03,0.02,0.06,0.01,0.09,0.03,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.03,1.82,,,3.48,1.01,0.04,1.97,0.34,0.73,0.66,0.11,0.65,0.26,0.66,0.17,,0.61,1.52,0.71,0.48,,1.75,1.78,1.78,,1.22
18,0.03,0.03,0.02,0.06,0.01,0.09,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.04,0.44,0.44,0.38,0.27,0.45,0.32,,0.38,0.27,0.1,0.06,0.17,0.44,0.26,0.15,1.07,0.28,2.62,0.85,0.24,,1.91,1.87,1.83,2.33,0.8
19,0.02,0.02,0.01,0.04,,0.05,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.2,0.11,0.09,0.07,0.14,0.2,0.26,0.3,0.3,0.39,0.11,0.38,0.37,0.64,0.18,,1.34,1.43,2.01,0.88,,4.36,4.24,4.14,,1.4
20,0.01,0.01,0.01,0.03,,0.04,0.01,0.01,0.01,,,0.01,0.01,0.01,,0.01,0.01,0.14,0.16,0.1,0.27,0.28,0.15,0.11,0.35,2.8,,0.3,,0.62,,0.14,4.09,,1.33,,,,,,,3.1,1.26
21,0.01,0.01,0.01,0.02,,0.03,0.01,0.01,0.01,,,,,,,,0.01,0.2,0.29,0.12,0.31,0.58,0.2,0.17,0.15,,,0.2,,0.4,,0.13,0.85,4.75,1.53,7.59,,,4.74,4.76,4.69,,1.34
22,0.01,0.01,0.01,0.03,,0.04,0.01,0.01,0.01,,,,,,,,,0.15,0.23,0.43,0.36,,0.22,0.1,0.4,1.33,0.99,0.11,2.05,0.25,6.77,0.14,3.18,13.81,1.52,11.29,25.5,,11.26,11.38,10.75,,1.86
23,0.01,0.01,0.01,0.03,,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17,0.22,0.7,0.24,0.73,0.22,0.66,0.39,0.65,0.61,0.1,0.6,0.25,0.64,0.13,,0.67,1.97,1.56,0.54,,4.17,4.22,4.08,6.54,1.0
24,0.01,0.01,0.01,0.03,,0.04,0.01,0.01,0.01,,,0.01,,,,,,0.53,0.15,0.64,0.41,0.62,0.18,0.59,0.5,1.59,4.44,0.17,,0.39,,0.24,,,1.17,,,,,,,,1.62
25,0.02,0.02,0.01,0.04,,0.05,0.02,0.02,0.01,0.01,0.01,0.01,,,,,0.01,0.2,0.06,0.27,0.38,0.42,0.07,,0.22,0.85,2.01,0.1,1.84,0.19,0.95,0.28,,0.55,,0.3,0.55,,0.6,0.6,0.6,3.12,0.6
