,Feature,Importance
16,Expanding_Mean,0.056247056
15,Long_EMA,0.027280837
14,Moving_Average_15,0.012684479
12,Upper_Band,0.0099306675
0,Close,0.006766446
13,Lower_Band,0.0055063847
6,Moving_Average_3,0.0054582106
2,Square_Root_Close,0.0048237694
3,Log_Close,0.0047590625
8,EMA,0.003751946
11,Moving_Average_10,0.0035256743
5,Close_Inverse,0.0030060667
1,Cumulative_Returns,0.002864643
9,Short_EMA,0.0023180996
4,Close_Squared,0.0022389598
10,Rolling_Mean,0.0013766319
7,Moving_Average_5,0.00086856994
