,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Squared,Moving_Average_3,Close_Cubed,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Lower_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Expanding_Mean,Price_RoC_60,Price_RoC_45,RSI,Signal_Line,MACD,Price_RoC_30,Sin_Close,Price_RoC_15,Z_Score,Price_RoC_12,RS,Price_RoC_10,Cos_Close,Price_RoC_7,Std_Dev_RoC_5,Price_RoC_5,Price_RoC_3,Gain,Std_Dev_RoC_10,Price_RoC,Log_Returns,Price_Delta,Loss,Rolling_Std,Tan_Close
16,0.07,0.07,0.03,0.02,0.14,0.06,0.21,0.07,0.05,0.03,0.02,0.04,0.02,0.02,0.01,0.01,0.06,,,,0.24,,,,0.59,46.33,2.16,3.19,0.44,2.4,11.38,1.34,0.47,1.88,3.41,1.84,0.41,4.99,5.59,6.09,1.83,0.41,3.5
17,0.05,0.05,0.03,0.02,0.1,0.05,0.15,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.03,,,,0.08,4.61,0.85,0.68,3.88,0.36,0.69,0.44,0.2,0.69,,1.24,0.45,0.96,0.43,0.97,0.25,1.41,1.42,1.41,2.55,0.18,
18,0.05,0.05,0.03,0.02,0.11,0.04,0.17,0.05,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.03,0.05,,0.93,0.42,0.11,0.29,0.21,0.41,,0.49,0.52,0.23,0.46,0.33,10.79,0.33,0.2,0.6,1.68,1.57,0.23,2.41,2.45,2.46,1.64,0.16,
19,0.03,0.03,0.02,0.01,0.07,0.02,0.1,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,,0.21,0.18,0.16,0.06,0.2,0.41,,0.77,,1.42,0.36,2.6,0.89,,0.19,,,1.91,0.2,,,,0.97,0.19,51.89
20,0.02,0.02,0.01,0.01,0.04,0.01,0.05,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,,0.03,,0.16,0.14,0.22,0.44,0.94,0.77,,,,,0.34,,,,0.48,,,1.3,0.39,,,,1.63,0.33,1.39
21,0.02,0.02,0.01,0.01,0.05,0.03,0.07,0.02,0.03,0.02,0.02,0.04,0.03,0.03,0.02,0.02,0.03,,0.46,0.52,0.27,,,,1.73,,,,0.4,,,,0.44,,,1.66,0.1,,,,1.75,0.24,
22,0.04,0.04,0.02,0.01,0.07,0.02,0.11,0.04,0.02,0.01,0.01,0.02,0.02,0.02,0.01,,0.02,,0.52,,0.27,,,,,6.27,2.75,2.65,0.62,1.82,,1.66,0.57,7.59,,1.88,0.17,,,,1.89,0.19,1.92
23,0.05,0.05,0.03,0.02,0.11,0.04,0.16,0.05,0.04,0.03,0.03,0.04,0.04,0.04,0.02,0.02,0.04,,,,0.31,,,,0.37,,,,0.43,,,,0.34,,,2.29,0.15,,,,0.9,0.08,2.37
24,0.03,0.03,0.02,0.01,0.06,0.03,0.09,0.03,0.03,0.03,0.03,0.02,0.04,0.04,0.04,0.03,0.06,,,,0.31,,,,1.5,,,,0.38,,0.07,,0.22,,,1.69,0.34,,,,2.03,0.3,1.48
25,0.02,0.02,0.01,0.01,0.04,0.02,0.06,0.02,0.02,0.01,0.01,,,,,,0.01,,,,0.04,,,,0.21,,0.52,1.27,0.08,0.63,0.39,0.54,0.12,0.5,1.2,1.64,0.08,7.39,8.3,8.51,2.0,0.1,0.44
