,Feature,Importance
16,Expanding_Mean,0.09050865
5,Close_Inverse,0.0053228578
3,Log_Close,0.005005756
11,Moving_Average_10,0.0048268973
15,Upper_Band,0.0045739077
1,Cumulative_Returns,0.004408022
8,EMA,0.0034318133
6,Moving_Average_3,0.0034025288
2,Square_Root_Close,0.0032412275
7,Moving_Average_5,0.0028054349
4,Close_Squared,0.0027288315
12,Lower_Band,0.0026013467
0,Close,0.002547198
10,Rolling_Mean,0.0023715491
14,Long_EMA,0.0023422036
9,Short_EMA,0.0021066666
13,Moving_Average_15,0.0020556143
