,Feature,Importance
17,Expanding_Mean,0.09060601
5,Close_Cubed,0.010063875
6,Close_Inverse,0.009080219
0,Cumulative_Returns,0.008396339
3,Log_Close,0.007469817
11,Lower_Band,0.0058752024
13,Moving_Average_10,0.005369813
8,Moving_Average_5,0.005258634
16,Upper_Band,0.0044738185
10,Short_EMA,0.004411295
15,Long_EMA,0.004235732
7,Moving_Average_3,0.0038337342
2,Square_Root_Close,0.003644557
14,Moving_Average_15,0.0029326407
12,Rolling_Mean,0.0028902092
4,Close_Squared,0.0011910526
9,EMA,0.0011118599
1,Close,0.00096422073
