,Feature,Importance
17,Expanding_Mean,0.09309104
1,Close,0.0074321567
9,EMA,0.0061871316
11,Rolling_Mean,0.0044299816
14,Moving_Average_15,0.004269038
5,Close_Cubed,0.0033417542
2,Square_Root_Close,0.0032029166
6,Close_Inverse,0.0031552098
10,Short_EMA,0.0029520448
16,Long_EMA,0.0027619353
7,Moving_Average_3,0.0026245592
0,Cumulative_Returns,0.0026060224
4,Close_Squared,0.0023847371
15,Upper_Band,0.0020184175
13,Lower_Band,0.0019745748
3,Log_Close,0.0018891745
12,Moving_Average_10,0.0014329159
8,Moving_Average_5,0.0007268495
