,Cumulative_Returns,Close,Square_Root_Close,Close_Squared,Log_Close,Close_Cubed,Moving_Average_3,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Lower_Band,Moving_Average_15,Long_EMA,Upper_Band,Price_RoC_60,Price_RoC_45,Signal_Line,Expanding_Mean,MACD,Price_RoC_30,RSI,RS,Price_RoC_15,Z_Score,Price_RoC_12,Cos_Close,Price_RoC_10,Price_RoC_7,Price_RoC_5,Price_RoC_3,Gain,Std_Dev_RoC_10,Price_RoC,Price_Delta,Log_Returns,Rolling_Std,Sin_Close,Tan_Close,Std_Dev_RoC_5,Loss
10,0.03,0.03,0.01,0.06,0.01,0.08,0.02,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.02,5.2,0.64,11.84,,0.99,0.81,0.12,0.27,1.38,1.27,0.64,0.25,0.69,1.02,0.86,3.84,1.25,0.16,14.47,19.47,18.86,0.18,2.2,2.24,0.49,1.51
11,0.02,0.02,0.01,0.04,0.01,0.07,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.03,0.78,,12.8,,,,0.21,0.36,,,,0.49,,,,,1.48,0.23,,,,0.23,,,0.4,0.96
12,0.05,0.05,0.02,0.09,0.01,0.14,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.05,0.02,0.01,0.01,,,,,,,0.15,0.23,,,,,,,,,2.07,0.11,,,,0.42,,1.7,0.43,1.95
13,0.04,0.04,0.02,0.08,0.01,0.13,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0.03,0.02,0.01,0.01,,,,,,,0.13,0.21,,,,,,,,,2.15,0.16,,,,0.29,,,0.33,1.15
14,0.03,0.03,0.02,0.07,0.01,0.1,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,,,,,,,0.34,0.43,,,,,,,,,2.26,0.28,,,,0.1,0.61,,0.4,1.33
15,0.05,0.05,0.02,0.09,0.02,0.14,0.04,0.05,0.03,0.02,0.02,0.01,0.01,0.03,0.01,0.02,0.01,,,,,,,0.09,0.16,,,,,,,,,1.6,0.11,,,,0.28,0.35,224.77,0.51,0.95
16,0.08,0.08,0.04,0.16,0.03,0.24,0.08,0.08,0.07,0.04,0.03,0.03,0.03,0.04,0.01,0.01,0.08,,,,,,,0.23,0.41,3.82,2.05,2.22,,1.94,1.16,1.64,2.54,1.74,0.4,4.0,4.78,4.41,0.43,3.82,22.53,0.54,1.79
17,0.05,0.05,0.03,0.1,0.02,0.15,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.04,0.04,0.02,0.03,,5.75,1.0,,0.51,0.44,0.09,0.22,0.34,0.61,0.49,,0.58,1.07,0.93,0.63,1.05,0.27,1.69,1.71,1.71,0.21,,5.47,0.42,1.76
18,0.06,0.06,0.03,0.11,0.02,0.17,0.04,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.68,0.45,0.17,,0.14,0.42,0.09,0.28,0.54,0.84,0.33,0.78,0.45,0.65,1.03,2.25,1.67,0.21,3.26,3.34,3.4,0.24,,3.95,0.27,1.16
19,0.03,0.03,0.02,0.07,0.01,0.1,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.03,0.03,0.03,0.21,0.14,0.11,,0.11,0.36,0.1,0.28,0.32,1.72,0.53,,0.58,1.08,2.26,4.07,1.58,0.12,,,,0.19,0.57,,0.45,1.68
20,0.02,0.02,0.01,0.04,0.01,0.06,0.02,0.02,0.02,0.02,0.01,0.03,0.03,0.01,0.01,,0.04,0.1,0.13,0.29,,0.52,0.53,0.29,0.53,,,,0.34,,,,,1.33,0.25,,,,0.22,0.57,0.94,0.3,1.0
21,0.03,0.03,0.01,0.05,0.01,0.08,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.28,0.26,1.81,,,135.78,0.26,0.44,,,,0.12,,,,,1.68,0.14,,,,0.13,,,0.43,1.5
22,0.08,0.08,0.04,0.16,0.02,0.24,0.07,0.08,0.07,0.05,0.04,0.05,0.05,0.03,0.03,0.03,0.1,0.18,0.65,1.31,,0.89,8.96,0.2,0.6,0.87,1.07,0.91,12.96,0.75,0.66,1.86,3.97,2.53,0.4,6.77,8.66,8.0,0.47,4.9,23.51,0.62,1.65
23,0.04,0.04,0.02,0.07,0.01,0.11,0.03,0.04,0.02,0.01,0.01,0.01,0.01,0.03,0.02,0.01,0.03,0.36,1.83,0.07,,0.25,0.38,0.26,0.44,1.45,,3.78,,6.08,,,,2.71,0.05,,,,0.3,1.25,2.65,0.4,1.19
24,0.03,0.03,0.02,0.06,0.01,0.09,0.03,0.03,0.02,0.01,0.01,0.02,0.02,0.02,0.01,,0.02,0.9,1.25,0.49,,1.61,0.6,0.29,0.48,,,,,,,,,1.23,0.51,17.98,22.26,22.27,0.16,0.23,,0.32,1.21
25,0.02,0.02,0.01,0.04,0.01,0.06,0.03,0.02,0.03,0.01,0.01,,,0.01,0.01,0.01,0.02,0.81,0.18,0.39,,0.89,1.15,0.1,0.25,1.03,0.23,0.43,,0.66,0.68,0.28,0.49,1.07,0.14,1.78,1.84,1.81,0.16,3.86,,0.15,2.0
