,Feature,Importance
17,Expanding_Mean,0.09390651
2,Square_Root_Close,0.008215536
1,Close,0.007912064
4,Close_Squared,0.0069654225
0,Cumulative_Returns,0.0056966427
15,Moving_Average_15,0.0054872697
16,Long_EMA,0.0054604164
6,Close_Inverse,0.0050893845
8,Moving_Average_5,0.0049488833
3,Log_Close,0.00363119
14,Lower_Band,0.0032344565
5,Close_Cubed,0.0027739857
11,Rolling_Mean,0.0025724173
9,EMA,0.002377589
13,Upper_Band,0.0019718516
7,Moving_Average_3,0.0016145479
12,Moving_Average_10,0.0014591452
10,Short_EMA,0.0012088437
