,Close,Cumulative_Returns,Square_Root_Close,Close_Squared,Log_Close,Moving_Average_3,Close_Cubed,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Lower_Band,Moving_Average_15,Upper_Band,Long_EMA,Signal_Line,Price_RoC_60,MACD,Price_RoC_45,Price_RoC_30,Std_Dev_RoC_10,Price_RoC_15,Price_RoC_12,Price_RoC_10,RSI,Price_RoC_7,Price_RoC_5,Std_Dev_RoC_5,Expanding_Mean,Price_RoC_3,Z_Score,Gain,RS,Price_Delta,Log_Returns,Price_RoC,Cos_Close,Rolling_Std,Sin_Close,Loss,Tan_Close
10,0.03,0.03,0.01,0.06,,0.03,0.08,0.03,0.02,0.01,0.01,0.02,0.02,0.05,,0.02,0.01,0.09,0.13,0.3,0.32,0.54,0.26,1.48,0.68,2.07,0.09,4.37,32.54,0.7,,,,3.16,0.2,,,,27.54,0.3,1.53,0.83,
11,0.02,0.02,0.01,0.03,,0.01,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.44,0.12,0.78,0.52,2.91,0.41,,,,0.36,,15.83,0.25,,7.51,,1.18,0.63,13.02,13.14,11.76,,0.14,,1.54,
12,0.06,0.06,0.03,0.11,0.01,0.04,0.16,0.06,0.03,0.02,0.01,0.01,0.01,0.03,0.01,0.02,0.01,0.38,0.7,1.58,1.17,8.18,0.32,9.35,12.17,14.34,0.18,,,0.69,,,34.6,1.42,0.36,,,,33.09,0.37,,1.62,
13,0.04,0.04,0.02,0.09,0.01,0.04,0.14,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.04,0.06,0.02,,,,,,0.49,,,,0.39,,,0.39,,,,2.43,0.53,,,,,0.27,,1.22,
14,0.04,0.04,0.02,0.08,0.01,0.03,0.12,0.04,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.02,,,,,,0.33,,,,0.23,,,0.3,,,,1.65,0.3,,,,,0.26,23.68,1.08,
15,0.13,0.13,0.07,0.22,0.03,0.07,0.3,0.15,0.05,0.04,0.04,0.03,0.03,0.1,0.03,0.04,0.03,,,,,,0.5,,,,0.29,,,1.06,,,,2.18,0.34,,,,,0.81,0.66,2.32,3.53
16,0.03,0.03,0.01,0.06,0.01,0.02,0.09,0.03,0.05,0.05,0.05,0.09,0.09,0.11,0.07,0.19,0.05,,,,,,0.31,,,,0.23,,,0.64,,,,1.68,0.26,40.69,41.05,28.07,,0.6,,1.24,13.4
17,0.04,0.04,0.02,0.09,0.01,0.04,0.13,0.04,0.04,0.02,0.02,0.02,0.02,0.01,0.02,0.04,0.01,,,,,,0.38,19.83,0.42,0.49,0.37,0.76,0.73,0.27,,0.67,0.44,1.21,0.57,1.45,1.48,1.48,,0.3,3.6,2.14,
18,0.01,0.01,0.01,0.02,,0.01,0.04,0.01,,0.01,0.01,0.01,0.01,0.04,0.02,0.01,,,,,,,0.17,0.34,0.56,0.94,0.08,1.29,2.25,0.65,,13.33,1.44,1.57,0.3,20.28,20.57,17.95,,0.55,1.34,1.18,
19,0.08,0.08,0.04,0.16,0.02,0.08,0.24,0.09,0.08,0.06,0.06,0.05,0.05,0.04,0.04,0.11,0.03,6.61,,1.01,,0.32,0.39,0.54,0.63,0.59,0.15,0.62,0.74,0.58,,1.0,0.62,1.32,0.42,1.96,1.97,1.95,,0.57,,1.4,
20,0.03,0.03,0.01,0.05,,0.02,0.08,0.03,0.01,0.01,0.01,0.02,0.02,0.05,0.03,0.01,0.02,0.11,,0.13,0.74,0.26,0.34,0.39,0.91,1.38,0.15,4.37,,0.45,,11.71,13.34,1.12,0.51,10.81,11.18,9.94,,0.48,,2.01,
21,0.02,0.02,0.01,0.05,,0.02,0.07,0.02,0.01,0.01,,,,0.01,0.01,0.01,0.01,0.16,2.94,0.29,0.13,0.18,0.7,,,,0.14,,,0.35,,,,1.77,0.3,,,,7.87,0.1,1.41,1.08,2.86
22,0.04,0.04,0.02,0.08,0.01,0.03,0.12,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.01,0.15,0.13,0.3,0.16,0.82,0.16,2.09,3.22,2.04,0.19,1.19,1.15,0.58,,1.23,0.97,0.99,0.47,1.59,1.56,1.55,5.76,0.35,,2.28,6.48
23,0.03,0.03,0.01,0.05,,0.02,0.08,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.03,0.02,0.02,0.21,0.09,0.15,0.26,0.36,0.35,0.21,0.18,0.24,0.05,0.34,0.51,0.53,,1.05,0.33,1.09,0.2,3.39,3.42,3.29,,0.16,1.11,1.99,10.8
24,0.02,0.02,0.01,0.03,,0.01,0.05,0.02,0.01,,,,,0.01,0.01,0.01,0.01,0.11,0.07,0.24,0.34,0.21,0.19,0.98,2.0,80.67,0.11,,,0.22,,,,1.33,0.29,,,,,0.13,,1.49,2.79
25,0.02,0.02,0.01,0.04,,0.01,0.05,0.02,0.01,0.01,0.01,,,,,0.01,0.01,0.03,0.27,0.05,0.1,0.15,0.18,2.67,,1.58,0.07,0.42,0.84,0.26,,0.78,0.58,1.5,0.14,6.07,6.07,5.82,58.91,0.18,0.26,1.16,
