,Feature,Importance
17,Expanding_Mean,0.075992726
16,Long_EMA,0.02694321
13,Lower_Band,0.0073281126
3,Log_Close,0.0062930533
11,Rolling_Mean,0.0059291357
5,Moving_Average_3,0.0058056507
9,EMA,0.005750137
14,Moving_Average_15,0.005622232
8,Moving_Average_5,0.005525247
10,Short_EMA,0.0054624425
7,Close_Cubed,0.005327971
1,Close,0.004939125
2,Square_Root_Close,0.0042553293
6,Close_Inverse,0.0042221374
12,Moving_Average_10,0.0039475276
15,Upper_Band,0.0035215472
0,Cumulative_Returns,0.0028422275
4,Close_Squared,0.0015475804
