,Close,Cumulative_Returns,Square_Root_Close,Moving_Average_3,Moving_Average_5,Log_Close,Close_Squared,EMA,Upper_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Close_Inverse,Close_Cubed,Lower_Band,Expanding_Mean,Rolling_Std,MACD,Sin_Close,Signal_Line,Cos_Close,Std_Dev_RoC_10,Price_RoC_30,Price_RoC_15,RSI,Price_RoC_12,Price_RoC_10,Price_RoC_45,Std_Dev_RoC_5,Gain,Price_RoC_7,Price_RoC_60,Price_RoC_5,RS,Loss,Z_Score,Price_RoC_3,Tan_Close,Price_Delta,Price_RoC,Log_Returns
16,0.11,0.11,0.06,0.1,0.09,0.04,0.21,0.05,0.08,0.05,0.04,0.04,0.01,0.02,0.12,0.3,0.04,0.01,0.31,1.69,5.59,0.77,1.73,0.28,0.82,17.27,0.39,3.83,2.3,0.78,0.66,1.68,1.33,1.83,1.53,0.59,1.33,2.15,1.82,,2.35,2.4,2.41
17,0.03,0.03,0.02,0.02,0.02,0.01,0.06,0.03,0.02,0.03,0.03,0.03,0.05,0.03,0.03,0.09,0.08,0.01,0.41,0.1,0.25,0.22,1.34,0.19,0.44,0.39,0.16,0.65,0.78,0.16,0.78,1.65,1.08,0.26,1.11,0.56,1.97,1.48,3.98,,,,
18,0.06,0.06,0.03,0.05,0.04,0.02,0.12,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.06,0.18,0.05,0.01,0.27,0.59,,0.23,0.84,0.37,0.35,,0.26,,,0.5,0.31,1.26,,0.42,,0.47,2.0,,,1.71,,,
19,0.02,0.02,0.01,0.01,0.01,0.01,0.04,0.01,0.06,0.01,0.02,0.02,0.02,0.01,0.02,0.05,0.03,,0.6,,,2.67,0.63,0.27,2.34,,0.18,,,1.58,0.41,1.42,,0.31,,0.27,1.54,,25.23,10.05,,,
20,0.04,0.04,0.02,0.04,0.03,0.01,0.08,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.04,0.11,0.04,,0.32,,,,,0.14,,,0.26,,,0.84,0.3,1.82,,6.4,,0.45,0.99,,,13.23,,,
21,0.02,0.02,0.01,0.02,0.01,0.01,0.05,0.01,0.02,,0.01,0.01,0.01,0.01,0.02,0.07,0.01,,0.28,,,,,0.35,,,0.2,,19.75,,0.3,1.65,1.48,5.76,1.25,0.4,1.41,1.67,2.07,,11.2,9.84,10.92
22,0.17,0.17,0.08,0.13,0.08,0.05,0.37,0.06,0.14,0.05,0.04,0.04,0.03,0.03,0.15,0.58,0.1,,1.04,10.88,,,,0.84,4.76,1.63,0.23,1.72,1.93,,1.16,1.77,1.93,2.18,2.0,0.7,1.4,3.85,1.95,,2.32,2.48,2.46
23,0.04,0.04,0.02,0.03,0.03,0.01,0.08,0.04,0.05,0.05,0.08,0.08,0.07,0.04,0.04,0.12,0.25,0.01,0.56,0.12,,0.33,1.9,0.25,0.16,0.14,0.06,0.34,0.73,0.2,0.61,1.51,1.36,0.2,2.45,0.25,1.04,13.64,,,,,
24,0.04,0.04,0.02,0.03,0.03,0.01,0.08,0.02,0.02,0.02,0.01,0.01,0.01,0.03,0.04,0.12,0.01,0.01,0.11,0.06,,0.04,0.59,0.61,0.15,1.49,0.13,2.48,2.07,0.23,0.36,1.53,1.52,0.35,1.06,0.36,1.58,1.06,1.18,3.17,2.96,2.86,2.93
25,0.02,0.02,0.01,0.02,0.01,,0.03,,,,,,0.01,,0.02,0.05,,,0.02,0.11,,0.04,0.11,0.02,0.09,0.52,0.02,0.73,2.11,0.06,0.5,2.0,1.25,0.12,,0.05,0.67,,,,,,
