,Close
Close,1.0
Cumulative_Returns,1.0
Square_Root_Close,0.9995401703555251
Close_Squared,0.9982470490091103
Log_Close,0.9982469109937843
Close_Cubed,0.9932699812643871
Close_Inverse,0.9924246485778402
Moving_Average_3,0.9885491602360548
Moving_Average_5,0.9750129546115596
EMA,0.9524811443322077
Short_EMA,0.938791941281601
Rolling_Mean,0.9373817323954371
Moving_Average_10,0.9373817323954371
Upper_Band,0.90866186840586
Lower_Band,0.9017123417240858
Moving_Average_15,0.8906703253071333
Long_EMA,0.8350879115742309
Price_RoC_60,0.8185310103226501
Price_RoC_45,0.758642119482122
Signal_Line,0.7558391536926853
MACD,0.7011287881371344
Price_RoC_30,0.646314727084822
RSI,0.4563799967994237
Price_RoC_15,0.4016374105639013
Price_RoC_12,0.3461037750352199
RS,0.3058621802747786
Price_RoC_10,0.30372026869723734
Z_Score,0.28274152126453544
Price_RoC_7,0.25230657627883024
Std_Dev_RoC_5,0.24295031315854462
Price_RoC_5,0.21950407643490497
Std_Dev_RoC_10,0.18579732751492126
Price_RoC_3,0.16387591257981882
Cos_Close,0.15960226033441588
Loss,0.09800677718499726
Log_Returns,0.09087988246884571
Price_Delta,0.09055889413121776
Price_RoC,0.08867736677242197
Expanding_Mean,0.08117314779483566
Gain,0.05557649844732279
Rolling_Std,0.04111781498947778
Tan_Close,0.034983173663854214
Sin_Close,0.010080006755568121
