,Close
Close,1.0
Cumulative_Returns,1.0
Square_Root_Close,0.9996389126255328
Close_Squared,0.9986341539413753
Log_Close,0.9985814165920582
Close_Cubed,0.9947598172890035
Close_Inverse,0.9939503516980115
Moving_Average_3,0.9865571873096239
Moving_Average_5,0.970006502562704
EMA,0.9540835102673086
Short_EMA,0.9440116946942203
Rolling_Mean,0.9280982891300829
Moving_Average_10,0.9280982891300829
Lower_Band,0.9274051883253749
Moving_Average_15,0.8965712559729608
Long_EMA,0.8802743219367547
Upper_Band,0.8231386952413333
Expanding_Mean,0.6662044477510827
MACD,0.6183288172994751
Price_RoC_30,0.6114898694608454
Price_RoC_45,0.5922467100023047
Signal_Line,0.5622657522547209
Price_RoC_15,0.5552338642416706
Price_RoC_60,0.5351751955946334
Price_RoC_12,0.5323359084959359
Price_RoC_10,0.4854213738524746
RS,0.40412687143232834
RSI,0.40269267336874354
Price_RoC_7,0.37367016743247644
Std_Dev_RoC_5,0.3495800718182824
Rolling_Std,0.3465062631010885
Std_Dev_RoC_10,0.32832909061770854
Price_RoC_5,0.3153938139154175
Sin_Close,0.25560945878874886
Price_RoC_3,0.23451526219096944
Z_Score,0.20418216505357076
Loss,0.19884420116320298
Log_Returns,0.1325849638271291
Price_Delta,0.13198506110481423
Price_RoC,0.12847668459102837
Cos_Close,0.010789495915544199
Tan_Close,0.001734655917758854
Gain,0.00046129929027976754
