,Close,Cumulative_Returns,Moving_Average_3,Moving_Average_5,Square_Root_Close,Upper_Band,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Log_Close,Long_EMA,Close_Squared,Lower_Band,Expanding_Mean,Close_Inverse,Close_Cubed,Rolling_Std,MACD,Signal_Line,Gain,Loss,Price_RoC_15,Price_RoC_12,Price_RoC_10,Price_RoC_30,Std_Dev_RoC_10,Price_Delta,Price_RoC_7,Sin_Close,Std_Dev_RoC_5,Price_RoC_60,Price_RoC_5,Cos_Close,RSI,Z_Score,RS,Price_RoC_3,Price_RoC,Log_Returns,Tan_Close,Price_RoC_45
0,0.04,0.04,0.03,0.03,0.02,0.05,0.03,0.03,0.04,0.04,0.04,0.01,0.01,0.08,0.03,,0.04,0.12,0.32,2.51,0.7,1.46,1.31,,,,0.89,0.57,17.94,,0.79,0.33,0.76,,0.41,0.26,,0.42,,14.97,18.66,1.11,0.32
1,0.05,0.05,0.03,0.03,0.02,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0.01,0.1,0.05,0.01,0.05,0.15,0.23,1.13,1.12,1.42,1.76,1.31,0.87,0.74,,0.11,2.51,0.61,0.39,0.33,0.12,0.7,,0.19,0.53,0.68,1.07,2.51,2.56,,0.2
2,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.01,0.02,0.04,0.06,0.01,0.02,0.06,0.34,0.1,0.25,1.07,3.0,0.29,0.2,0.2,0.5,0.2,4.16,0.67,,0.36,0.13,1.11,,0.06,0.41,0.25,1.55,3.98,4.17,0.94,0.28
3,0.03,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.01,0.01,0.03,0.09,0.21,0.17,0.06,1.75,1.38,0.94,0.98,1.25,0.14,0.16,9.13,3.15,,0.45,0.3,12.37,,0.22,5.2,0.54,7.36,8.45,9.4,1.06,0.98
4,0.13,0.13,0.1,0.07,0.06,0.12,0.06,0.05,0.04,0.04,0.03,0.04,0.03,0.27,0.05,0.01,0.12,0.42,0.77,0.49,0.2,1.88,1.62,1.17,1.26,1.09,0.39,0.65,2.58,1.18,,0.69,0.45,1.11,,0.2,0.74,0.72,1.35,2.58,2.57,,0.61
5,0.03,0.03,0.04,0.05,0.01,0.04,0.06,0.06,0.08,0.08,0.08,0.01,0.06,0.06,0.2,0.02,0.03,0.08,0.45,0.12,0.23,1.82,1.57,0.1,0.32,0.51,0.11,0.19,3.58,0.93,,0.3,0.12,1.37,0.77,0.04,0.95,0.34,2.2,3.44,3.5,,0.09
6,0.06,0.06,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.12,0.06,0.01,0.06,0.18,0.47,0.38,0.19,1.48,1.96,3.47,,,0.19,0.45,,,,0.45,0.15,,,0.41,,0.99,,,,2.16,0.31
7,0.04,0.04,0.04,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.09,0.02,0.01,0.04,0.14,0.29,0.17,0.15,1.35,1.15,12.49,3.29,1.87,0.46,0.4,2.37,0.59,,0.6,0.07,0.63,1.63,0.27,0.58,0.75,0.92,2.28,2.31,,0.19
8,0.05,0.05,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.03,0.09,0.04,0.01,0.05,0.14,0.17,0.16,0.13,0.9,2.12,0.19,0.34,0.25,0.66,0.45,2.73,0.49,1.27,0.25,0.09,0.69,,0.06,0.49,0.22,1.32,2.61,2.71,2.89,0.09
9,0.04,0.04,0.03,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.08,0.04,0.01,0.04,0.12,0.46,0.07,0.02,1.33,2.49,0.35,0.2,0.45,0.38,0.06,1.88,1.08,,0.35,0.09,1.64,,0.09,1.13,0.33,1.97,1.88,1.89,,0.5
10,0.1,0.1,0.04,0.03,0.05,0.06,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.21,0.04,0.01,0.09,0.33,0.52,0.16,0.04,2.34,1.13,0.83,0.72,0.7,0.32,0.4,3.38,1.16,,0.71,0.28,1.69,0.72,0.11,2.03,0.38,2.39,3.48,3.57,,0.59
11,0.02,0.02,0.01,0.04,0.01,0.04,0.04,0.04,0.06,0.06,0.05,0.01,0.04,0.04,0.18,0.02,0.02,0.06,0.59,0.05,0.15,0.88,1.72,0.2,0.27,0.57,0.12,0.22,4.66,0.95,0.45,0.7,0.08,1.45,,0.06,0.55,0.26,2.6,4.52,4.73,,0.05
12,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,,0.03,0.03,0.04,0.02,0.02,0.04,0.28,0.09,0.03,1.75,1.38,0.86,0.28,0.47,0.16,0.49,6.85,0.91,,0.47,0.12,1.58,55.57,0.09,1.26,0.37,2.34,6.43,6.69,4.01,0.07
13,0.05,0.05,0.05,0.04,0.03,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.11,0.06,0.01,0.05,0.16,0.46,0.58,0.29,1.34,1.94,,,,0.84,0.11,,,2.59,0.49,0.24,,2.39,0.34,,0.7,,,,,0.17
