,Feature,Importance
17,Expanding_Mean,0.08731665
16,Long_EMA,0.01747953
10,Short_EMA,0.011655738
9,EMA,0.010903221
2,Square_Root_Close,0.009601225
6,Moving_Average_3,0.009098691
11,Rolling_Mean,0.008946762
1,Close,0.008213732
7,Close_Inverse,0.0061968365
12,Moving_Average_10,0.0046822703
8,Moving_Average_5,0.004676933
5,Close_Cubed,0.004461603
13,Lower_Band,0.0041015465
4,Log_Close,0.004083718
14,Upper_Band,0.0037806712
3,Close_Squared,0.003592763
15,Moving_Average_15,0.0020473215
0,Cumulative_Returns,0.0018418252
