,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Moving_Average_3,Moving_Average_5,EMA,Close_Inverse,Short_EMA,Upper_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,,,,,,,0.01
1,,,,,,,,,,0.01,,,,,,
2,0.04,0.04,0.02,0.01,0.04,0.03,0.02,0.04,0.02,0.01,0.02,0.02,0.01,0.01,0.05,0.01
3,0.02,0.02,0.01,,0.01,0.01,0.01,0.02,0.01,0.04,0.02,0.02,0.02,0.01,0.01,0.01
4,0.01,0.01,0.01,,0.01,0.01,,0.01,,,0.01,0.01,,,0.01,
5,0.01,0.01,,,0.01,,,0.01,,,,,,,,
6,0.03,0.03,0.01,0.01,0.03,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.03,
7,0.01,0.01,0.01,,0.01,0.01,,0.01,,0.02,,,0.01,,0.01,
8,0.01,0.01,,,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
9,0.02,0.02,0.01,,0.01,0.01,,0.02,,0.01,,,0.01,,0.01,
10,0.02,0.02,0.01,,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,
11,0.02,0.02,0.01,0.01,0.01,,,0.02,,0.01,,,,,0.01,
12,0.02,0.02,0.01,,0.02,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.06,
13,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,
14,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
15,0.02,0.02,0.01,,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
16,0.01,0.01,0.01,,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.03,
17,0.03,0.03,0.01,0.01,0.03,0.03,0.02,0.03,0.02,0.01,0.02,0.02,0.01,0.01,0.04,
18,0.01,0.01,,,0.01,,0.01,0.01,0.01,0.01,,,0.01,,0.01,
19,0.02,0.02,0.01,,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
20,0.05,0.05,0.03,0.01,0.05,0.05,0.03,0.06,0.03,0.06,0.03,0.03,0.02,0.01,0.01,
21,0.03,0.03,0.02,0.01,0.03,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.01,0.03,
22,0.02,0.02,0.01,,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
23,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
24,0.02,0.02,0.01,,0.01,,,0.02,,0.01,,,,,0.01,
25,0.01,0.01,0.01,,0.01,,,0.01,,0.01,,,,,,
26,0.01,0.01,,,0.01,,,0.01,,,,,,,,
27,0.01,0.01,,,0.01,0.01,,0.01,,,,,,,0.01,
28,0.03,0.03,0.02,0.01,0.03,0.04,0.03,0.04,0.03,0.05,0.04,0.04,0.03,0.02,0.06,
29,0.01,0.01,,,,,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,
30,0.01,0.01,,,,,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,
31,0.02,0.02,0.01,,0.01,0.01,0.01,0.02,0.01,,0.01,0.01,,,0.02,
