,Feature,Importance
17,Expanding_Mean,0.09743972
16,Long_EMA,0.011455143
9,EMA,0.0076983944
14,Moving_Average_15,0.00757501
6,Close_Cubed,0.006979341
2,Square_Root_Close,0.005927927
5,Close_Inverse,0.005196922
15,Lower_Band,0.004988087
8,Moving_Average_5,0.0049198074
10,Short_EMA,0.004810155
1,Cumulative_Returns,0.0037127081
4,Close_Squared,0.00268515
13,Upper_Band,0.0026237688
3,Log_Close,0.0025580386
0,Close,0.002502845
11,Rolling_Mean,0.0020342951
12,Moving_Average_10,0.0018874675
7,Moving_Average_3,0.0008102604
