,Feature,Importance
16,Expanding_Mean,0.09067915
15,Long_EMA,0.008172145
6,Moving_Average_3,0.006823645
11,Moving_Average_10,0.0063300296
1,Cumulative_Returns,0.006042351
5,Close_Inverse,0.005475466
9,Short_EMA,0.005157892
3,Log_Close,0.004888332
7,Moving_Average_5,0.004684248
0,Close,0.0034989093
8,EMA,0.003217658
4,Close_Squared,0.0026123845
10,Rolling_Mean,0.0020998076
12,Upper_Band,0.0020179779
2,Square_Root_Close,0.0019766714
13,Moving_Average_15,0.0015159682
14,Lower_Band,0.0014406197
