,Feature,Importance
17,Expanding_Mean,0.096149854
0,Close,0.0033724098
4,Close_Squared,0.0032079641
2,Square_Root_Close,0.0031792573
1,Cumulative_Returns,0.002979646
5,Close_Inverse,0.0024401792
10,Short_EMA,0.0022552994
11,Rolling_Mean,0.0018066587
8,Moving_Average_5,0.0017509187
3,Log_Close,0.0015123605
12,Moving_Average_10,0.0014523275
9,EMA,0.0013687406
13,Upper_Band,0.0012172557
16,Lower_Band,0.0011729574
14,Moving_Average_15,0.0011653891
7,Moving_Average_3,0.00082996645
6,Close_Cubed,0.00068158493
15,Long_EMA,0.00064732955
