,Close
Cumulative_Returns,1.0000000000000002
Close,1.0
Square_Root_Close,0.9993875769437653
Log_Close,0.9976085582203807
Close_Squared,0.997540382164723
Moving_Average_3,0.9956353357053315
Moving_Average_5,0.9915903436996079
Close_Inverse,0.9904700096482753
Close_Cubed,0.990265985856309
EMA,0.9875180887394476
Short_EMA,0.9849752275743695
Rolling_Mean,0.9811010642325312
Moving_Average_10,0.9811010642325312
Upper_Band,0.9767291568126126
Moving_Average_15,0.9737647144539185
Long_EMA,0.9690438077447046
Lower_Band,0.9649513498434278
Expanding_Mean,0.8843338178643596
Signal_Line,0.5581705317990558
MACD,0.537993832012714
Price_RoC_60,0.5358316371680046
Price_RoC_45,0.4739946596277727
Price_RoC_30,0.4113371233162035
Price_RoC_15,0.3020819496106516
RSI,0.2814766880559756
Price_RoC_12,0.2755199832789239
Std_Dev_RoC_5,0.2699766455411441
Price_RoC_10,0.24386937977136625
Std_Dev_RoC_10,0.2330527616563414
Price_RoC_7,0.1912948789470866
Z_Score,0.18462330166003496
Price_RoC_5,0.1516495623120364
RS,0.1382294066812923
Cos_Close,0.11785653922408992
Price_RoC_3,0.11222831575569187
Rolling_Std,0.0821958399295504
Price_Delta,0.07713389299398063
Loss,0.07343192323206943
Log_Returns,0.07017418913764988
Price_RoC,0.0666212939605766
Sin_Close,0.059209423179214925
Tan_Close,0.05808676889998825
Gain,0.05480201387802944
