,Feature,Importance
17,Expanding_Mean,0.079421245
15,Long_EMA,0.022532405
13,Moving_Average_15,0.011638606
1,Close,0.009230545
10,Short_EMA,0.008123274
9,EMA,0.0075948797
5,Moving_Average_3,0.007537381
3,Log_Close,0.007134635
14,Upper_Band,0.0069506667
6,Close_Inverse,0.0057339156
12,Moving_Average_10,0.0055557885
16,Lower_Band,0.0052187545
8,Moving_Average_5,0.0047382675
4,Close_Squared,0.0045388457
0,Cumulative_Returns,0.004251373
11,Rolling_Mean,0.0036685385
7,Close_Cubed,0.0030962275
2,Square_Root_Close,0.002702608
