,Close
Close,1.0
Cumulative_Returns,1.0
Square_Root_Close,0.9994818142821177
Close_Squared,0.998045897427698
Log_Close,0.9980178526715937
Moving_Average_3,0.995894825170316
Close_Cubed,0.992545631560557
Close_Inverse,0.9913646560835189
Moving_Average_5,0.9905090642712027
EMA,0.9833729288212616
Short_EMA,0.9796405483850005
Rolling_Mean,0.975090984060274
Moving_Average_10,0.975090984060274
Lower_Band,0.965276206823113
Upper_Band,0.9608337507399123
Moving_Average_15,0.9607449578063771
Long_EMA,0.9582998271010471
Price_RoC_60,0.8451238190315846
Signal_Line,0.7627670338873582
MACD,0.7366253625262016
Expanding_Mean,0.7143520833916527
Price_RoC_45,0.7078651732606105
Price_RoC_30,0.6000089681615915
RSI,0.43148233785342144
Price_RoC_15,0.4246312178073355
Price_RoC_12,0.3795455618021373
Price_RoC_10,0.34100095717435874
RS,0.3372340991700981
Z_Score,0.2774001383060466
Price_RoC_7,0.27180165379457527
Price_RoC_5,0.21833927024339123
Std_Dev_RoC_10,0.21345259086819884
Sin_Close,0.202997354839941
Std_Dev_RoC_5,0.19986245265556304
Rolling_Std,0.19516144626203988
Cos_Close,0.1611926314084885
Price_RoC_3,0.15113272995319205
Gain,0.1363184872869093
Tan_Close,0.10704978094650172
Price_Delta,0.07242620033265564
Price_RoC,0.06967181250676314
Log_Returns,0.06957521213903657
Loss,0.006912750081044989
