,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Squared,Close_Cubed,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Upper_Band,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean,MACD,Price_RoC_30,Signal_Line,Price_RoC_60,Price_RoC_45,Price_RoC_15,RSI,Price_RoC_12,RS,Price_RoC_10,Price_RoC_7,Price_RoC_5,Z_Score,Rolling_Std,Price_RoC_3,Gain,Std_Dev_RoC_10,Std_Dev_RoC_5,Price_RoC,Price_Delta,Log_Returns,Sin_Close,Tan_Close,Cos_Close,Loss
10,0.07,0.07,0.04,0.02,0.15,0.22,0.07,0.06,0.05,0.02,0.03,0.05,0.05,0.04,0.03,0.03,0.12,0.01,0.18,0.19,0.17,0.21,0.4,0.63,0.1,0.37,0.31,0.64,1.86,2.8,5.29,0.23,6.48,2.02,0.25,0.54,,,,,4.76,,1.06
11,0.03,0.03,0.01,0.01,0.06,0.09,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.06,0.02,,0.01,0.01,0.73,0.81,0.39,0.23,0.4,,0.37,,0.69,,,,,0.41,,1.35,0.44,0.23,,,,3.19,3.66,91.0,1.54
12,0.02,0.02,0.01,,0.05,0.07,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.02,0.01,0.57,1.37,0.16,0.35,0.16,1.61,0.11,0.96,0.26,0.8,0.82,0.92,0.71,0.27,1.34,1.2,0.11,0.24,4.08,4.45,4.28,,,4.08,2.05
13,0.05,0.05,0.03,0.01,0.11,0.16,0.05,0.06,0.06,0.04,0.04,0.05,0.05,0.04,0.02,0.02,0.07,,,,,0.44,,,0.57,,0.74,,,,,0.22,,3.32,0.28,0.75,,,,,4.92,52.49,0.78
14,0.02,0.02,0.01,0.01,0.05,0.07,0.02,0.02,0.02,,,0.01,0.01,0.02,0.02,0.01,0.01,,,,,,,,0.49,,0.68,,4.89,2.16,3.21,0.33,2.87,1.35,0.23,0.54,53.93,152.04,147.2,3.52,4.03,,1.77
15,0.07,0.07,0.03,0.02,0.13,0.2,0.07,0.06,0.06,0.05,0.04,0.05,0.05,0.03,0.03,0.03,0.07,,,,,,,,0.3,,0.47,,,,,0.25,,1.42,0.19,0.46,,,,,13.18,4.84,1.4
16,0.15,0.15,0.08,0.04,0.28,0.39,0.18,0.16,0.16,0.1,0.09,0.09,0.09,0.17,0.04,0.04,0.11,,,2.65,,,,1.72,0.4,1.2,0.64,1.05,0.83,1.16,1.19,0.52,1.5,2.06,0.58,0.67,2.41,2.44,2.39,1.78,,,1.57
17,0.04,0.04,0.02,0.01,0.08,0.12,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.03,0.08,0.04,0.1,,0.18,0.19,0.37,0.35,0.56,0.29,0.08,0.58,0.42,0.71,0.4,0.56,0.35,0.38,0.75,0.86,0.27,0.85,1.35,1.37,1.36,2.76,3.4,2.29,1.99
18,0.02,0.02,0.01,,0.04,0.06,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.03,0.04,0.04,0.07,0.01,0.07,0.13,0.09,0.13,0.08,0.28,0.09,0.47,0.36,0.49,1.04,1.45,1.26,0.28,2.56,1.61,0.49,0.37,3.73,3.94,3.87,,4.01,,1.45
19,0.05,0.05,0.03,0.01,0.11,0.16,0.05,0.05,0.04,0.03,0.02,0.03,0.03,0.01,0.01,0.01,0.06,,0.51,0.87,0.25,0.09,0.12,,0.43,,0.74,,,,,0.48,,1.64,0.15,0.46,,,,2.19,,25.73,1.4
20,0.03,0.03,0.02,0.01,0.06,0.1,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.01,0.01,,,6.51,0.95,0.2,0.24,,0.2,,0.34,,,,,0.27,14.05,1.56,0.28,0.24,43.99,101.52,101.6,,8.4,1.84,1.15
21,0.03,0.03,0.01,0.01,0.05,0.08,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,,,,,0.25,0.9,,0.21,,0.35,,,,,0.12,,1.69,0.13,0.23,,,,11.58,,,1.13
22,0.03,0.03,0.01,0.01,0.06,0.09,0.03,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,,0.02,,,,,0.84,,1.51,0.13,1.2,0.3,0.72,1.18,1.64,1.32,0.19,2.46,1.44,0.18,0.36,4.56,4.78,4.84,3.89,6.32,1.6,1.73
23,0.19,0.19,0.09,0.04,0.36,0.52,0.19,0.16,0.12,0.08,0.07,0.05,0.05,0.06,0.03,0.03,0.2,,,,,,,,0.34,,0.59,,,,,0.66,,1.27,0.76,0.54,,,,2.73,3.82,,1.79
24,0.01,0.01,,,0.02,0.03,0.01,0.01,0.01,0.04,0.05,0.07,0.07,0.21,0.08,0.04,0.13,,,,,,,,0.38,,0.46,,,,,1.07,,2.26,0.34,0.96,133.94,288.37,292.02,0.9,5.61,0.59,1.02
25,,,,,0.01,0.01,,,0.01,,,,,,,0.01,,,,,,,,,0.22,1.55,0.38,0.97,0.34,0.14,0.18,0.1,1.07,1.24,0.14,0.51,6.9,6.95,6.98,0.02,,,1.43
