,Feature,Importance
16,Expanding_Mean,0.09629885
11,Moving_Average_10,0.0061619366
2,Square_Root_Close,0.0054244073
9,Short_EMA,0.004291308
7,Moving_Average_5,0.0041613197
10,Rolling_Mean,0.0032552374
15,Long_EMA,0.0031354006
6,Moving_Average_3,0.0030027602
5,Close_Inverse,0.0028172617
8,EMA,0.0025048947
12,Lower_Band,0.0024037373
4,Log_Close,0.002172013
1,Close,0.0020507735
3,Close_Squared,0.00200884
14,Moving_Average_15,0.0018851664
13,Upper_Band,0.0015506877
0,Cumulative_Returns,0.0008982181
