,Feature,Importance
17,Expanding_Mean,0.08494251
0,Close,0.009293043
6,Close_Inverse,0.007814169
1,Cumulative_Returns,0.00760507
5,Close_Cubed,0.0049071917
9,EMA,0.004248596
16,Long_EMA,0.0028656193
7,Moving_Average_3,0.0025784145
4,Close_Squared,0.0025590244
14,Upper_Band,0.0024088516
12,Moving_Average_10,0.002392283
8,Moving_Average_5,0.0022359306
13,Lower_Band,0.0019105382
15,Moving_Average_15,0.0016057907
10,Short_EMA,0.0014816873
3,Log_Close,0.0013174617
11,Rolling_Mean,0.0012120286
2,Square_Root_Close,0.0011553334
