,Feature,Importance
16,Expanding_Mean,0.0916315
2,Square_Root_Close,0.0074769235
5,Close_Inverse,0.0057081766
1,Cumulative_Returns,0.0054030325
6,Moving_Average_3,0.0050281556
0,Close,0.0049354685
7,Moving_Average_5,0.0047912737
13,Moving_Average_15,0.0043417634
15,Long_EMA,0.0031278885
11,Moving_Average_10,0.0028222029
10,Rolling_Mean,0.0027189073
3,Close_Squared,0.00268699
8,EMA,0.0021933233
12,Lower_Band,0.0020042094
4,Log_Close,0.0018304639
14,Upper_Band,0.0017788464
9,Short_EMA,0.0016753876
