,Feature,Importance
17,Expanding_Mean,0.09464203
15,Long_EMA,0.0107112285
7,Close_Cubed,0.007914382
9,EMA,0.007634303
14,Moving_Average_15,0.0073515973
10,Short_EMA,0.005595708
6,Moving_Average_5,0.005171316
8,Close_Inverse,0.0043937797
11,Upper_Band,0.004006474
2,Square_Root_Close,0.0037625781
13,Moving_Average_10,0.0035324662
12,Rolling_Mean,0.0030762635
5,Moving_Average_3,0.0026748735
16,Lower_Band,0.0023694173
1,Cumulative_Returns,0.0023503099
3,Log_Close,0.002184672
4,Close_Squared,0.0019747277
0,Close,0.0014236948
