,Feature,Importance
16,Expanding_Mean,0.08695303
14,Long_EMA,0.013100153
11,Moving_Average_10,0.011030524
8,EMA,0.0066329828
12,Lower_Band,0.0061307694
9,Short_EMA,0.0059777326
10,Rolling_Mean,0.0049525118
5,Close_Inverse,0.004389005
7,Moving_Average_5,0.0041819625
4,Close_Squared,0.003923034
13,Moving_Average_15,0.0032577305
2,Square_Root_Close,0.0030760064
0,Cumulative_Returns,0.0025281005
1,Close,0.0024321703
15,Upper_Band,0.0024283933
3,Log_Close,0.0023570983
6,Moving_Average_3,0.0015411677
