,Feature,Importance
16,Expanding_Mean,0.0942906
14,Long_EMA,0.012454179
13,Moving_Average_15,0.009252252
7,EMA,0.0074942447
8,Close_Inverse,0.0074400427
0,Close,0.0060364567
9,Short_EMA,0.0054959157
3,Log_Close,0.0052856635
11,Moving_Average_10,0.0044382387
15,Lower_Band,0.0036433465
4,Close_Squared,0.0034242433
12,Upper_Band,0.003236061
2,Square_Root_Close,0.0031714502
10,Rolling_Mean,0.0025775572
6,Moving_Average_5,0.0020059682
5,Moving_Average_3,0.0015376343
1,Cumulative_Returns,0.0014548231
