,Feature,Importance
16,Expanding_Mean,0.077677146
13,Long_EMA,0.025736103
14,Moving_Average_15,0.013302246
9,Short_EMA,0.011053265
2,Square_Root_Close,0.008514224
4,Close_Squared,0.0070382096
1,Cumulative_Returns,0.007007861
7,Moving_Average_5,0.0069508045
5,Close_Inverse,0.0054184864
11,Rolling_Mean,0.0030612596
0,Close,0.0030421282
3,Log_Close,0.0028183379
8,EMA,0.0025847412
6,Moving_Average_3,0.0022940321
15,Upper_Band,0.0019776989
10,Lower_Band,0.0019112803
12,Moving_Average_10,0.0015276616
