,Cumulative_Returns,Close,Square_Root_Close,Close_Squared,Moving_Average_3,Log_Close,Moving_Average_5,Close_Cubed,EMA,Short_EMA,Close_Inverse,Rolling_Mean,Moving_Average_10,Upper_Band,Moving_Average_15,Long_EMA,Expanding_Mean,Lower_Band,Price_RoC_60,Signal_Line,MACD,Price_RoC_45,Price_RoC_30,Rolling_Std,Price_RoC_15,Std_Dev_RoC_10,Price_RoC_12,RSI,RS,Price_RoC_10,Price_RoC_7,Gain,Price_RoC_5,Z_Score,Loss,Std_Dev_RoC_5,Price_RoC_3,Price_Delta,Tan_Close,Price_RoC,Log_Returns,Sin_Close,Cos_Close
10,0.05,0.05,0.02,0.09,0.04,0.01,0.03,0.14,0.02,0.02,0.05,0.02,0.02,0.01,0.02,0.01,,0.03,1.24,,,,,0.27,,0.24,,0.14,0.2,,,1.37,,,1.71,0.16,,,,,,,
11,0.02,0.02,0.01,0.04,0.01,,0.01,0.06,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,,0.01,,,,,,0.34,,0.14,,0.13,0.2,,,1.45,,,1.37,0.47,,,,,,,
12,0.12,0.12,0.06,0.22,0.12,0.03,0.12,0.31,0.08,0.07,0.13,0.07,0.07,0.15,0.05,0.04,,0.07,4.11,15.99,1.46,0.94,1.25,0.62,0.62,0.53,0.73,0.17,0.47,0.75,0.69,1.63,0.87,0.65,1.78,0.64,1.16,1.8,9.56,1.83,1.78,,
13,0.02,0.02,0.01,0.04,0.01,,0.01,0.05,0.01,0.02,0.02,0.02,0.02,0.04,0.04,0.02,,0.07,0.1,0.1,0.09,0.39,0.19,1.0,0.5,0.31,1.0,0.16,0.53,1.52,3.41,1.49,7.1,7.11,1.22,0.98,5.48,7.54,,7.32,7.68,23.82,
14,0.03,0.03,0.01,0.05,0.02,0.01,0.01,0.08,0.01,0.01,0.03,,,0.01,,0.01,,,0.36,0.13,0.19,0.26,0.14,0.14,1.56,0.71,1.47,0.1,0.2,1.17,4.45,1.75,4.11,5.59,1.26,0.27,12.61,,,,,,1.33
15,0.03,0.03,0.02,0.06,0.02,0.01,0.02,0.1,0.01,0.01,0.03,0.01,0.01,0.01,,,,0.02,0.18,0.22,0.44,0.12,2.43,0.29,,0.35,,0.16,0.31,,,1.37,,,1.72,0.46,,,10.91,,,,3.38
16,0.03,0.03,0.01,0.05,0.02,0.01,0.02,0.07,0.02,0.02,0.03,0.02,0.02,0.04,0.02,0.01,,0.01,0.13,,,1.5,,0.23,,0.23,,0.13,0.22,,,1.7,,,1.28,0.27,,33.55,,23.28,34.64,,2.74
17,0.02,0.02,0.01,0.04,0.01,,0.01,0.06,0.01,0.01,0.02,0.01,0.01,0.01,,,,0.02,0.13,,,,,0.19,4.17,0.32,1.13,0.14,0.27,0.6,1.27,1.44,1.25,0.93,1.49,0.19,2.79,13.96,,12.19,14.11,2.3,37.23
18,0.18,0.18,0.09,0.34,0.18,0.04,0.16,0.47,0.12,0.11,0.19,0.1,0.1,0.22,0.07,0.07,0.01,0.12,0.63,1.19,0.91,0.94,0.96,0.76,0.69,0.74,0.74,0.19,0.67,0.78,0.74,2.15,0.93,0.57,2.28,0.86,1.41,2.45,,2.52,2.46,,
19,0.02,0.02,0.01,0.04,0.02,,0.01,0.06,0.02,0.02,0.02,0.04,0.04,0.07,0.07,0.04,0.01,0.16,0.1,0.09,0.11,0.08,0.08,1.05,0.35,0.36,0.87,0.17,0.54,1.32,3.61,1.75,,,1.2,1.1,,,1.64,,,,5.22
20,0.04,0.04,0.02,0.08,0.04,0.01,0.03,0.12,0.02,0.01,0.04,0.02,0.02,0.01,0.01,0.01,0.01,0.04,0.19,0.21,0.38,0.11,0.14,0.48,,1.11,,0.26,0.41,,,1.89,,,1.6,0.41,,,18.4,,,3.03,4.61
21,0.04,0.04,0.02,0.08,0.04,0.01,0.04,0.12,0.03,0.03,0.04,0.03,0.03,0.04,0.01,0.02,0.01,0.02,0.18,0.07,0.24,0.09,0.92,0.17,1.26,0.48,1.3,0.2,0.58,1.11,0.64,1.17,0.39,0.51,1.7,0.61,0.59,2.28,,2.21,2.24,,
22,0.03,0.03,0.01,0.05,0.02,0.01,0.01,0.08,0.01,0.01,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.08,0.03,0.07,0.35,0.58,0.16,0.36,0.21,0.68,0.11,0.35,0.92,1.92,1.45,2.53,1.84,1.54,0.4,4.36,5.03,28.66,4.84,5.11,,
23,0.03,0.03,0.01,0.06,0.01,0.01,0.01,0.08,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.09,0.03,0.12,0.25,0.33,0.07,0.73,0.07,0.69,0.06,0.16,0.94,1.79,1.17,2.5,2.29,1.15,0.23,11.15,14.86,,12.11,15.04,7.34,
24,0.1,0.1,0.05,0.2,0.09,0.02,0.07,0.3,0.04,0.04,0.1,0.03,0.03,0.03,0.02,0.02,0.01,0.1,1.73,0.57,2.96,1.75,27.82,0.5,,0.41,,0.31,0.54,,,2.27,,,1.87,0.63,,,,,,,6.11
25,0.01,0.01,0.01,0.03,,,0.01,0.04,0.01,0.01,0.01,0.03,0.03,0.08,0.01,0.01,,0.04,,,,,,0.4,,0.36,,0.24,0.32,,,1.66,,,1.23,0.35,,,,,,,
