,Close
Cumulative_Returns,1.0000000000000002
Close,1.0
Square_Root_Close,0.9995526244623277
Log_Close,0.9982386845734587
Close_Squared,0.9982170475671485
Close_Cubed,0.9929206796623989
Close_Inverse,0.9928786521948574
Moving_Average_3,0.9864009932757263
Moving_Average_5,0.9718356743022449
EMA,0.9556666992921511
Short_EMA,0.9458275154501247
Rolling_Mean,0.9350121971919234
Moving_Average_10,0.9350121971919234
Upper_Band,0.9172087001984747
Lower_Band,0.9126218046019682
Moving_Average_15,0.8938623627593347
Long_EMA,0.8888986673440715
Expanding_Mean,0.6948111749161565
MACD,0.6883016147113933
Signal_Line,0.6137585818451295
Price_RoC_30,0.5887186050922573
Price_RoC_15,0.5291158809385491
RSI,0.4881799877241304
Price_RoC_12,0.48438263888606575
Price_RoC_45,0.47918905379799187
Price_RoC_10,0.44983764660632675
RS,0.44073003384377213
Price_RoC_60,0.398545225635712
Std_Dev_RoC_5,0.3864038139027372
Price_RoC_7,0.3743247193623494
Z_Score,0.3576781452495935
Price_RoC_5,0.3083992009242987
Price_RoC_3,0.22956761290839584
Std_Dev_RoC_10,0.1622851735216187
Price_Delta,0.1316632817462837
Log_Returns,0.12799958861588198
Price_RoC,0.12607116529105267
Gain,0.12452430644053127
Cos_Close,0.10226958908297223
Loss,0.09752541031409011
Sin_Close,0.09071040068243065
Rolling_Std,0.05951841771676594
Tan_Close,0.0020916935806074527
