,Feature,Importance
16,Expanding_Mean,0.07963639
15,Long_EMA,0.021899033
11,Moving_Average_10,0.0069363527
13,Moving_Average_15,0.0064481287
4,Close_Squared,0.0060154432
5,Close_Inverse,0.0033874442
3,Log_Close,0.0031748961
1,Cumulative_Returns,0.003171878
9,Short_EMA,0.0029924184
0,Close,0.0027461038
12,Upper_Band,0.002649441
7,Moving_Average_5,0.0025282595
2,Square_Root_Close,0.0021212504
10,Rolling_Mean,0.0017425383
6,Moving_Average_3,0.0015132625
8,EMA,0.0014771891
14,Lower_Band,0.0014335528
