,Feature,Importance
17,Expanding_Mean,0.09211664
10,Short_EMA,0.007538195
7,Moving_Average_3,0.0074624605
6,Close_Inverse,0.006268312
11,Rolling_Mean,0.0050384663
0,Close,0.0044669504
1,Cumulative_Returns,0.0041262107
9,EMA,0.003787458
16,Long_EMA,0.0033138834
3,Log_Close,0.0030928515
15,Upper_Band,0.0026087067
8,Moving_Average_5,0.0020620793
13,Lower_Band,0.0020190426
14,Moving_Average_15,0.0017238862
5,Close_Cubed,0.0015920196
12,Moving_Average_10,0.0014249213
4,Close_Squared,0.001318317
2,Square_Root_Close,0.0013083111
