,Feature,Importance
16,Expanding_Mean,0.098125376
15,Long_EMA,0.008410412
5,Close_Inverse,0.005215321
6,Moving_Average_3,0.004950869
14,Moving_Average_15,0.0042534275
11,Moving_Average_10,0.0037069246
7,Moving_Average_5,0.003290031
8,EMA,0.0029713046
9,Short_EMA,0.0027861693
1,Close,0.0023666597
3,Close_Squared,0.0021792878
12,Upper_Band,0.0020901514
10,Rolling_Mean,0.0017689618
2,Square_Root_Close,0.0017052675
0,Cumulative_Returns,0.0013177032
13,Lower_Band,0.001282435
4,Log_Close,0.0009151641
