,Close,Cumulative_Returns,Square_Root_Close,Close_Squared,Log_Close,Moving_Average_3,Close_Cubed,Moving_Average_5,EMA,Close_Inverse,Short_EMA,Upper_Band,Rolling_Mean,Moving_Average_10,Long_EMA,Moving_Average_15,Lower_Band,Expanding_Mean,Price_RoC_60,MACD,Signal_Line,Price_RoC_45,RSI,Price_RoC_30,Z_Score,Price_RoC_12,Price_RoC_15,Price_RoC_10,Price_RoC_7,Price_RoC_5,Rolling_Std,Price_RoC_3,Gain,RS,Price_Delta,Cos_Close,Std_Dev_RoC_10,Log_Returns,Sin_Close,Price_RoC,Tan_Close,Std_Dev_RoC_5,Loss
13,0.03,0.03,0.02,0.06,0.01,0.03,0.09,0.04,0.02,0.03,0.02,0.01,0.03,0.03,0.01,,0.06,,1.2,1.82,2.29,0.63,0.17,1.78,1.36,2.15,6.68,2.11,1.15,1.01,0.27,2.02,1.89,0.4,,59.04,0.33,,2.49,945.31,2.82,0.57,2.73
14,0.04,0.04,0.02,0.08,0.01,0.03,0.12,0.03,0.02,0.04,0.02,0.03,0.03,0.03,0.01,0.01,0.03,,25.68,,,1.9,0.26,,,,,,,,0.21,,2.1,0.58,13.29,,0.29,13.83,,11.68,5.89,0.61,1.76
15,0.03,0.03,0.02,0.06,0.01,0.03,0.09,0.03,0.01,0.03,0.01,0.01,0.01,0.01,0.01,,0.02,,0.37,,,,0.11,9.34,,1.61,,5.32,,,0.14,,2.55,0.23,,14.84,0.3,,,,,0.51,1.66
16,0.06,0.06,0.03,0.11,0.01,0.05,0.17,0.03,0.02,0.06,0.02,0.05,0.02,0.02,0.01,0.01,0.02,,,,,8.52,0.44,,1.57,3.43,4.05,2.09,1.15,1.35,0.6,1.84,3.16,0.98,4.17,0.05,0.32,4.23,,4.13,,0.53,3.16
17,0.1,0.1,0.05,0.19,0.02,0.09,0.28,0.08,0.06,0.1,0.06,0.09,0.06,0.06,0.04,0.04,0.02,,0.65,0.53,0.63,0.52,0.1,0.51,0.6,0.58,0.49,0.54,0.48,0.84,0.35,1.74,1.56,0.61,3.21,,0.31,3.14,,3.02,3.14,0.49,1.69
18,0.01,0.01,,0.02,,0.01,0.03,0.01,0.02,0.01,0.02,0.04,0.02,0.02,0.02,0.03,0.09,,0.32,0.07,0.07,0.26,0.11,0.18,0.4,0.8,0.24,1.13,2.02,,0.86,6.22,1.52,0.26,12.77,,0.09,12.79,,12.26,1.86,0.88,1.84
19,0.03,0.03,0.01,0.05,0.01,0.03,0.08,0.03,0.02,0.03,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.06,0.08,0.02,0.09,0.22,0.25,0.89,0.42,0.66,0.33,0.76,1.4,0.39,2.76,1.31,0.84,4.3,4.11,0.45,4.16,12.25,3.96,,0.5,3.16
20,0.03,0.03,0.01,0.05,0.01,0.02,0.08,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.18,0.2,0.1,0.12,0.25,0.75,14.0,2.01,1.11,2.17,,,0.07,11.62,2.92,0.59,33.39,,0.22,32.25,2.89,23.82,,0.25,1.94
21,0.03,0.03,0.02,0.07,0.01,0.02,0.11,0.01,0.01,0.03,0.01,0.03,0.01,0.01,0.01,,0.02,,0.18,0.29,0.26,0.2,0.54,0.47,,,,,15.05,3.46,0.56,2.57,2.85,0.66,4.92,,0.22,5.04,0.7,4.88,7.9,0.65,2.12
22,0.03,0.03,0.02,0.06,0.01,0.03,0.1,0.03,0.02,0.03,0.01,0.02,0.01,0.01,0.01,,0.01,,0.3,1.65,0.51,0.75,0.16,,,,,,,,0.16,,3.32,0.48,,10.92,0.17,,2.37,,5.32,0.52,1.53
23,0.06,0.06,0.03,0.11,0.01,0.05,0.17,0.04,0.02,0.06,0.02,0.05,0.02,0.02,0.01,0.01,0.01,,0.65,1.22,1.0,1.55,0.24,6.42,2.57,2.16,3.57,1.07,1.68,3.37,0.32,11.57,1.88,0.47,,6.47,0.21,,,,3.34,0.45,1.49
24,0.04,0.04,0.02,0.07,0.01,0.02,0.11,0.01,0.01,0.04,0.01,0.04,0.02,0.02,,0.01,0.01,,0.5,,0.74,,0.16,,,,12.66,,,,0.25,3.6,1.46,0.33,3.13,3.06,0.14,3.15,5.82,3.05,,0.29,1.67
25,0.02,0.02,0.01,0.03,,0.02,0.05,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,0.2,0.41,0.59,0.21,0.16,0.3,0.13,0.43,1.26,0.41,0.37,0.27,0.18,0.43,1.39,0.4,1.39,,0.02,1.4,,1.4,,0.42,
