,Feature,Importance
17,Expanding_Mean,0.0850751
15,Long_EMA,0.013636259
1,Cumulative_Returns,0.0066699386
5,Close_Cubed,0.00621383
14,Moving_Average_15,0.004554755
6,Close_Inverse,0.0042867376
9,EMA,0.00424889
11,Rolling_Mean,0.0040464727
4,Close_Squared,0.0035196685
8,Moving_Average_5,0.003449681
2,Square_Root_Close,0.0033217506
10,Short_EMA,0.0031746968
7,Moving_Average_3,0.0029036023
3,Log_Close,0.0025939841
12,Moving_Average_10,0.0021535538
13,Lower_Band,0.0020354085
16,Upper_Band,0.0012941773
0,Close,0.0012811502
